; ISO 3166-2:GB
; ISO source: https://www.iso.org/obp/ui/#iso:code:3166:GB
; Extracted on: 20150531
; 
; Subdivision category	3166-2 code	Subdivision name	Language code	Romanization system	Parent subdivision
council area	GB-ABE	Aberdeen City	en		GB-SCT
council area	GB-ABD	Aberdeenshire	en		GB-SCT
council area	GB-ANS	Angus	en		GB-SCT
district council area	GB-ANT	Antrim	en		GB-NIR
district council area	GB-ARD	Ards	en		GB-NIR
council area	GB-AGB	Argyll and Bute	en		GB-SCT
district council area	GB-ARM	Armagh	en		GB-NIR
district council area	GB-BLA	Ballymena	en		GB-NIR
district council area	GB-BLY	Ballymoney	en		GB-NIR
district council area	GB-BNB	Banbridge	en		GB-NIR
London borough	GB-BDG	Barking and Dagenham	en		GB-ENG
London borough	GB-BNE	Barnet	en		GB-ENG
metropolitan district	GB-BNS	Barnsley	en		GB-ENG
unitary authority	GB-BAS	Bath and North East Somerset	en		GB-ENG
unitary authority	GB-BDF	Bedford	en		GB-ENG
district council area	GB-BFS	Belfast	en		GB-NIR
London borough	GB-BEX	Bexley	en		GB-ENG
metropolitan district	GB-BIR	Birmingham	en		GB-ENG
unitary authority	GB-BBD	Blackburn with Darwen	en		GB-ENG
unitary authority	GB-BPL	Blackpool	en		GB-ENG
unitary authority	GB-BGW	Blaenau Gwent	en		GB-WLS
metropolitan district	GB-BOL	Bolton	en		GB-ENG
unitary authority	GB-BMH	Bournemouth	en		GB-ENG
unitary authority	GB-BRC	Bracknell Forest	en		GB-ENG
metropolitan district	GB-BRD	Bradford	en		GB-ENG
London borough	GB-BEN	Brent	en		GB-ENG
unitary authority	GB-BGE	Bridgend [Pen-y-bont ar Ogwr GB-POG]	en		GB-WLS
unitary authority	GB-BNH	Brighton and Hove	en		GB-ENG
unitary authority	GB-BST	Bristol, City of	en		GB-ENG
London borough	GB-BRY	Bromley	en		GB-ENG
two-tier county	GB-BKM	Buckinghamshire	en		GB-ENG
metropolitan district	GB-BUR	Bury	en		GB-ENG
unitary authority	GB-CAY	Caerphilly [Caerffili GB-CAF]	en		GB-WLS
metropolitan district	GB-CLD	Calderdale	en		GB-ENG
two-tier county	GB-CAM	Cambridgeshire	en		GB-ENG
London borough	GB-CMD	Camden	en		GB-ENG
unitary authority	GB-CRF	Cardiff [Caerdydd GB-CRD]	en		GB-WLS
unitary authority	GB-CMN	Carmarthenshire [Sir Gaerfyrddin GB-GFY]	en		GB-WLS
district council area	GB-CKF	Carrickfergus	en		GB-NIR
district council area	GB-CSR	Castlereagh	en		GB-NIR
unitary authority	GB-CBF*	Central Bedfordshire	en		GB-ENG
unitary authority	GB-CGN	Ceredigion [Sir Ceredigion]	en		GB-WLS
unitary authority	GB-CHE*	Cheshire East	en		GB-ENG
unitary authority	GB-CHW*	Cheshire West and Chester	en		GB-ENG
council area	GB-CLK	Clackmannanshire	en		GB-SCT
district council area	GB-CLR	Coleraine	en		GB-NIR
unitary authority	GB-CWY	Conwy	en		GB-WLS
district council area	GB-CKT	Cookstown	en		GB-NIR
unitary authority	GB-CON	Cornwall	en		GB-ENG
metropolitan district	GB-COV	Coventry	en		GB-ENG
district council area	GB-CGV	Craigavon	en		GB-NIR
London borough	GB-CRY	Croydon	en		GB-ENG
two-tier county	GB-CMA	Cumbria	en		GB-ENG
unitary authority	GB-DAL	Darlington	en		GB-ENG
unitary authority	GB-DEN	Denbighshire [Sir Ddinbych GB-DDB]	en		GB-WLS
unitary authority	GB-DER	Derby	en		GB-ENG
two-tier county	GB-DBY	Derbyshire	en		GB-ENG
district council area	GB-DRY	Derry	en		GB-NIR
two-tier county	GB-DEV	Devon	en		GB-ENG
metropolitan district	GB-DNC	Doncaster	en		GB-ENG
two-tier county	GB-DOR	Dorset	en		GB-ENG
district council area	GB-DOW	Down	en		GB-NIR
metropolitan district	GB-DUD	Dudley	en		GB-ENG
council area	GB-DGY	Dumfries and Galloway	en		GB-SCT
council area	GB-DND	Dundee City	en		GB-SCT
district council area	GB-DGN	Dungannon and South Tyrone	en		GB-NIR
unitary authority	GB-DUR	Durham County	en		GB-ENG
London borough	GB-EAL	Ealing	en		GB-ENG
council area	GB-EAY	East Ayrshire	en		GB-SCT
council area	GB-EDU	East Dunbartonshire	en		GB-SCT
council area	GB-ELN	East Lothian	en		GB-SCT
council area	GB-ERW	East Renfrewshire	en		GB-SCT
unitary authority	GB-ERY	East Riding of Yorkshire	en		GB-ENG
two-tier county	GB-ESX	East Sussex	en		GB-ENG
council area	GB-EDH	Edinburgh, City of	en		GB-SCT
council area	GB-ELS	Eilean Siar	en		GB-SCT
London borough	GB-ENF	Enfield	en		GB-ENG
country	GB-ENG	England	en		
nation	GB-EAW	England and Wales	en		
two-tier county	GB-ESS	Essex	en		GB-ENG
council area	GB-FAL	Falkirk	en		GB-SCT
district council area	GB-FER	Fermanagh	en		GB-NIR
council area	GB-FIF	Fife	en		GB-SCT
unitary authority	GB-FLN	Flintshire [Sir y Fflint GB-FFL]	en		GB-WLS
metropolitan district	GB-GAT	Gateshead	en		GB-ENG
council area	GB-GLG	Glasgow City	en		GB-SCT
two-tier county	GB-GLS	Gloucestershire	en		GB-ENG
nation	GB-GBN	Great Britain	en		
London borough	GB-GRE	Greenwich	en		GB-ENG
unitary authority	GB-GWN	Gwynedd	en		GB-WLS
London borough	GB-HCK	Hackney	en		GB-ENG
unitary authority	GB-HAL	Halton	en		GB-ENG
London borough	GB-HMF	Hammersmith and Fulham	en		GB-ENG
two-tier county	GB-HAM	Hampshire	en		GB-ENG
London borough	GB-HRY	Haringey	en		GB-ENG
London borough	GB-HRW	Harrow	en		GB-ENG
unitary authority	GB-HPL	Hartlepool	en		GB-ENG
London borough	GB-HAV	Havering	en		GB-ENG
unitary authority	GB-HEF	Herefordshire	en		GB-ENG
two-tier county	GB-HRT	Hertfordshire	en		GB-ENG
council area	GB-HLD	Highland	en		GB-SCT
London borough	GB-HIL	Hillingdon	en		GB-ENG
London borough	GB-HNS	Hounslow	en		GB-ENG
council area	GB-IVC	Inverclyde	en		GB-SCT
unitary authority	GB-AGY	Isle of Anglesey [Sir Ynys Môn GB-YNM]	en		GB-WLS
unitary authority	GB-IOW	Isle of Wight	en		GB-ENG
unitary authority	GB-IOS*	Isles of Scilly	en		GB-ENG
London borough	GB-ISL	Islington	en		GB-ENG
London borough	GB-KEC	Kensington and Chelsea	en		GB-ENG
two-tier county	GB-KEN	Kent	en		GB-ENG
unitary authority	GB-KHL	Kingston upon Hull	en		GB-ENG
London borough	GB-KTT	Kingston upon Thames	en		GB-ENG
metropolitan district	GB-KIR	Kirklees	en		GB-ENG
metropolitan district	GB-KWL	Knowsley	en		GB-ENG
London borough	GB-LBH	Lambeth	en		GB-ENG
two-tier county	GB-LAN	Lancashire	en		GB-ENG
district council area	GB-LRN	Larne	en		GB-NIR
metropolitan district	GB-LDS	Leeds	en		GB-ENG
unitary authority	GB-LCE	Leicester	en		GB-ENG
two-tier county	GB-LEC	Leicestershire	en		GB-ENG
London borough	GB-LEW	Lewisham	en		GB-ENG
district council area	GB-LMV	Limavady	en		GB-NIR
two-tier county	GB-LIN	Lincolnshire	en		GB-ENG
district council area	GB-LSB	Lisburn	en		GB-NIR
metropolitan district	GB-LIV	Liverpool	en		GB-ENG
city corporation	GB-LND	London, City of	en		GB-ENG
unitary authority	GB-LUT	Luton	en		GB-ENG
district council area	GB-MFT	Magherafelt	en		GB-NIR
metropolitan district	GB-MAN	Manchester	en		GB-ENG
unitary authority	GB-MDW	Medway	en		GB-ENG
unitary authority	GB-MTY	Merthyr Tydfil [Merthyr Tudful GB-MTU]	en		GB-WLS
London borough	GB-MRT	Merton	en		GB-ENG
unitary authority	GB-MDB	Middlesbrough	en		GB-ENG
council area	GB-MLN	Midlothian	en		GB-SCT
