; ISO 3166-2:AM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	AM-AG	Aragac̣otn		hy	ISO 9985:1996	
region	AM-AR	Ararat		hy	ISO 9985:1996	
region	AM-AV	Armavir		hy	ISO 9985:1996	
city	AM-ER	Erevan		hy	ISO 9985:1996	
region	AM-GR	Geġark'unik'		hy	ISO 9985:1996	
region	AM-KT	Kotayk'		hy	ISO 9985:1996	
region	AM-LO	Loṙi		hy	ISO 9985:1996	
region	AM-SU	Syunik'		hy	ISO 9985:1996	
region	AM-TV	Tavuš		hy	ISO 9985:1996	
region	AM-VD	Vayoć Jor		hy	ISO 9985:1996	
region	AM-SH	Širak		hy	ISO 9985:1996	
