; ISO 3166-2:AO
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AO
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	AO-BGO*	Bengo		pt		
province	AO-BGU*	Benguela		pt		
province	AO-BIE*	Bié		pt		
province	AO-CAB*	Cabinda		pt		
province	AO-CCU*	Cuando Cubango	Kuando Kubango	pt		
province	AO-CNO*	Cuanza-Norte	Kwanza Norte	pt		
province	AO-CUS*	Cuanza-Sul	Kwanza Sul	pt		
province	AO-CNN*	Cunene		pt		
province	AO-HUA*	Huambo		pt		
province	AO-HUI*	Huíla		pt		
province	AO-LUA*	Luanda		pt		
province	AO-LNO*	Lunda-Norte		pt		
province	AO-LSU*	Lunda-Sul		pt		
province	AO-MAL*	Malange		pt		
province	AO-MOX*	Moxico		pt		
province	AO-NAM*	Namibe		pt		
province	AO-UIG*	Uíge		pt		
province	AO-ZAI*	Zaire		pt		
