; ISO 3166-2:AR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	AR-B	Buenos Aires		es		
province	AR-K	Catamarca		es		
province	AR-H	Chaco		es		
province	AR-U	Chubut		es		
city	AR-C	Ciudad Autónoma de Buenos Aires		es		
province	AR-W	Corrientes		es		
province	AR-X	Córdoba		es		
province	AR-E	Entre Ríos		es		
province	AR-P	Formosa		es		
province	AR-Y	Jujuy		es		
province	AR-L	La Pampa		es		
province	AR-F	La Rioja		es		
province	AR-M	Mendoza		es		
province	AR-N	Misiones		es		
province	AR-Q	Neuquén		es		
province	AR-R	Río Negro		es		
province	AR-A	Salta		es		
province	AR-J	San Juan		es		
province	AR-D	San Luis		es		
province	AR-Z	Santa Cruz		es		
province	AR-S	Santa Fe		es		
province	AR-G	Santiago del Estero		es		
province	AR-V	Tierra del Fuego		es		
province	AR-T	Tucumán		es		
