; ISO 3166-2:AZ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AZ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
rayon	AZ-ABS*	Abşeron		az		
rayon	AZ-AST*	Astara		az		
rayon	AZ-AGC*	Ağcabədi		az		
rayon	AZ-AGM*	Ağdam		az		
rayon	AZ-AGS*	Ağdaş		az		
rayon	AZ-AGA*	Ağstafa		az		
rayon	AZ-AGU*	Ağsu		az		
rayon	AZ-BAB*	Babək		az		AZ-NX
municipality	AZ-BA*	Bakı		az		
rayon	AZ-BAL*	Balakən		az		
rayon	AZ-BEY*	Beyləqan		az		
rayon	AZ-BIL*	Biləsuvar		az		
rayon	AZ-BAR*	Bərdə		az		
rayon	AZ-CUL*	Culfa		az		AZ-NX
rayon	AZ-CAB*	Cəbrayıl		az		
rayon	AZ-CAL*	Cəlilabad		az		
rayon	AZ-DAS*	Daşkəsən		az		
rayon	AZ-FUZ*	Füzuli		az		
rayon	AZ-GOR*	Goranboy		az		
rayon	AZ-GYG*	Göygöl		az		
rayon	AZ-GOY*	Göyçay		az		
rayon	AZ-GAD*	Gədəbəy		az		
municipality	AZ-GA*	Gəncə		az		
rayon	AZ-HAC*	Hacıqabul		az		
rayon	AZ-KUR*	Kürdəmir		az		
rayon	AZ-KAN	Kǝngǝrli		az		AZ-NX
rayon	AZ-KAL*	Kəlbəcər		az		
rayon	AZ-LAC*	Laçın		az		
rayon	AZ-LER*	Lerik		az		
municipality	AZ-LA*	Lənkəran		az		
rayon	AZ-LAN*	Lənkəran		az		
rayon	AZ-MAS*	Masallı		az		
municipality	AZ-MI*	Mingəçevir		az		
municipality	AZ-NA*	Naftalan		az		
autonomous republic	AZ-NX*	Naxçıvan		az		
municipality	AZ-NV*	Naxçıvan		az		AZ-NX
rayon	AZ-NEF*	Neftçala		az		
rayon	AZ-ORD*	Ordubad		az		AZ-NX
rayon	AZ-OGU*	Oğuz		az		
rayon	AZ-QAX*	Qax		az		
rayon	AZ-QAZ*	Qazax		az		
rayon	AZ-QOB*	Qobustan		az		
rayon	AZ-QBA*	Quba		az		
rayon	AZ-QBI*	Qubadlı		az		
rayon	AZ-QUS*	Qusar		az		
rayon	AZ-QAB*	Qəbələ		az		
rayon	AZ-SAT*	Saatlı		az		
rayon	AZ-SAB*	Sabirabad		az		
rayon	AZ-SAL*	Salyan		az		
rayon	AZ-SMX*	Samux		az		
rayon	AZ-SIY*	Siyəzən		az		
municipality	AZ-SM*	Sumqayıt		az		
rayon	AZ-SAD*	Sədərək		az		AZ-NX
rayon	AZ-TOV*	Tovuz		az		
rayon	AZ-TAR*	Tərtər		az		
rayon	AZ-UCA*	Ucar		az		
municipality	AZ-XA*	Xankəndi		az		
rayon	AZ-XAC*	Xaçmaz		az		
rayon	AZ-XCI*	Xocalı		az		
rayon	AZ-XVD*	Xocavənd		az		
rayon	AZ-XIZ*	Xızı		az		
rayon	AZ-YAR*	Yardımlı		az		
municipality	AZ-YE*	Yevlax		az		
rayon	AZ-YEV*	Yevlax		az		
rayon	AZ-ZAQ*	Zaqatala		az		
rayon	AZ-ZAN*	Zəngilan		az		
rayon	AZ-ZAR*	Zərdab		az		
rayon	AZ-IMI*	İmişli		az		
rayon	AZ-ISM*	İsmayıllı		az		
rayon	AZ-SBN*	Şabran		az		
rayon	AZ-SAH*	Şahbuz		az		AZ-NX
rayon	AZ-SMI*	Şamaxı		az		
municipality	AZ-SR*	Şirvan		az		
rayon	AZ-SUS*	Şuşa		az		
municipality	AZ-SA*	Şəki		az		
rayon	AZ-SAK*	Şəki		az		
rayon	AZ-SKR*	Şəmkir		az		
rayon	AZ-SAR*	Şərur		az		AZ-NX
