; ISO 3166-2:BB
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BB
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
parish	BB-01*	Christ Church		en		
parish	BB-02*	Saint Andrew		en		
parish	BB-03*	Saint George		en		
parish	BB-04*	Saint James		en		
parish	BB-05*	Saint John		en		
parish	BB-06*	Saint Joseph		en		
parish	BB-07*	Saint Lucy		en		
parish	BB-08*	Saint Michael		en		
parish	BB-09*	Saint Peter		en		
parish	BB-10*	Saint Philip		en		
parish	BB-11*	Saint Thomas		en		
