; ISO 3166-2:BG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	BG-01	Blagoevgrad		bg	National 1999 = UN X/7 2012	
district	BG-02	Burgas		bg	National 1999 = UN X/7 2012	
district	BG-08	Dobrich		bg	National 1999 = UN X/7 2012	
district	BG-07	Gabrovo		bg	National 1999 = UN X/7 2012	
district	BG-26	Haskovo		bg	National 1999 = UN X/7 2012	
district	BG-09	Kardzhali		bg	National 1999 = UN X/7 2012	
district	BG-10	Kyustendil		bg	National 1999 = UN X/7 2012	
district	BG-11	Lovech		bg	National 1999 = UN X/7 2012	
district	BG-12	Montana		bg	National 1999 = UN X/7 2012	
district	BG-13	Pazardzhik		bg	National 1999 = UN X/7 2012	
district	BG-14	Pernik		bg	National 1999 = UN X/7 2012	
district	BG-15	Pleven		bg	National 1999 = UN X/7 2012	
district	BG-16	Plovdiv		bg	National 1999 = UN X/7 2012	
district	BG-17	Razgrad		bg	National 1999 = UN X/7 2012	
district	BG-18	Ruse		bg	National 1999 = UN X/7 2012	
district	BG-27	Shumen		bg	National 1999 = UN X/7 2012	
district	BG-19	Silistra		bg	National 1999 = UN X/7 2012	
district	BG-20	Sliven		bg	National 1999 = UN X/7 2012	
district	BG-21	Smolyan		bg	National 1999 = UN X/7 2012	
district	BG-23	Sofia		bg	National 1999 = UN X/7 2012	
district	BG-22	Sofia (stolitsa)		bg	National 1999 = UN X/7 2012	
district	BG-24	Stara Zagora		bg	National 1999 = UN X/7 2012	
district	BG-25	Targovishte		bg	National 1999 = UN X/7 2012	
district	BG-03	Varna		bg	National 1999 = UN X/7 2012	
district	BG-04	Veliko Tarnovo		bg	National 1999 = UN X/7 2012	
district	BG-05	Vidin		bg	National 1999 = UN X/7 2012	
district	BG-06	Vratsa		bg	National 1999 = UN X/7 2012	
district	BG-28	Yambol		bg	National 1999 = UN X/7 2012	
