; ISO 3166-2:BR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
state	BR-AC	Acre		pt		
state	BR-AL	Alagoas		pt		
state	BR-AP	Amapá		pt		
state	BR-AM	Amazonas		pt		
state	BR-BA	Bahia		pt		
state	BR-CE	Ceará		pt		
federal district	BR-DF	Distrito Federal		pt		
state	BR-ES	Espírito Santo		pt		
state	BR-GO	Goiás		pt		
state	BR-MA	Maranhão		pt		
state	BR-MT	Mato Grosso		pt		
state	BR-MS	Mato Grosso do Sul		pt		
state	BR-MG	Minas Gerais		pt		
state	BR-PR	Paraná		pt		
state	BR-PB	Paraíba		pt		
state	BR-PA	Pará		pt		
state	BR-PE	Pernambuco		pt		
state	BR-PI	Piauí		pt		
state	BR-RN	Rio Grande do Norte		pt		
state	BR-RS	Rio Grande do Sul		pt		
state	BR-RJ	Rio de Janeiro		pt		
state	BR-RO	Rondônia		pt		
state	BR-RR	Roraima		pt		
state	BR-SC	Santa Catarina		pt		
state	BR-SE	Sergipe		pt		
state	BR-SP	São Paulo		pt		
state	BR-TO	Tocantins		pt		
