; ISO 3166-2:BS
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BS
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	BS-AK*	Acklins		en		
district	BS-BY*	Berry Islands		en		
district	BS-BI*	Bimini		en		
district	BS-BP*	Black Point		en		
district	BS-CI*	Cat Island		en		
district	BS-CO*	Central Abaco		en		
district	BS-CS*	Central Andros		en		
district	BS-CE*	Central Eleuthera		en		
district	BS-FP*	City of Freeport		en		
district	BS-CK*	Crooked Island and Long Cay		en		
district	BS-EG*	East Grand Bahama		en		
district	BS-EX*	Exuma		en		
district	BS-GC*	Grand Cay		en		
district	BS-HI*	Harbour Island		en		
district	BS-HT*	Hope Town		en		
district	BS-IN*	Inagua		en		
district	BS-LI*	Long Island		en		
district	BS-MC*	Mangrove Cay		en		
district	BS-MG*	Mayaguana		en		
district	BS-MI*	Moore's Island		en		
island	BS-NP*	New Providence		en		
district	BS-NO*	North Abaco		en		
district	BS-NS*	North Andros		en		
district	BS-NE*	North Eleuthera		en		
district	BS-RI*	Ragged Island		en		
district	BS-RC*	Rum Cay		en		
district	BS-SS*	San Salvador		en		
district	BS-SO*	South Abaco		en		
district	BS-SA*	South Andros		en		
district	BS-SE*	South Eleuthera		en		
district	BS-SW*	Spanish Wells		en		
district	BS-WG*	West Grand Bahama		en		
