; ISO 3166-2:BT
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BT
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	BT-33	Bumthang		dz	National 1997	
district	BT-12	Chhukha		dz	National 1997	
district	BT-22	Dagana		dz	National 1997	
district	BT-GA*	Gasa		dz	National 1997	
district	BT-13	Haa		dz	National 1997	
district	BT-44	Lhuentse		dz	National 1997	
district	BT-42	Monggar		dz	National 1997	
district	BT-11	Paro		dz	National 1997	
district	BT-43	Pema Gatshel		dz	National 1997	
district	BT-23	Punakha		dz	National 1997	
district	BT-45	Samdrup Jongkhar		dz	National 1997	
district	BT-14	Samtse		dz	National 1997	
district	BT-31	Sarpang		dz	National 1997	
district	BT-15	Thimphu		dz	National 1997	
district	BT-TY*	Trashi Yangtse		dz	National 1997	
district	BT-41	Trashigang		dz	National 1997	
district	BT-32	Trongsa		dz	National 1997	
district	BT-21	Tsirang		dz	National 1997	
district	BT-24	Wangdue Phodrang		dz	National 1997	
district	BT-34	Zhemgang		dz	National 1997	
