; ISO 3166-2:CI
; Source: https://www.iso.org/obp/ui/#iso:code:3166:CI
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
autonomous district	CI-AB*	Abidjan		fr		
district	CI-BS*	Bas-Sassandra		fr		
district	CI-CM*	Comoé		fr		
district	CI-DN*	Denguélé		fr		
district	CI-GD*	Gôh-Djiboua		fr		
district	CI-LC*	Lacs		fr		
district	CI-LG*	Lagunes		fr		
district	CI-MG*	Montagnes		fr		
district	CI-SM*	Sassandra-Marahoué		fr		
district	CI-SV*	Savanes		fr		
district	CI-VB*	Vallée du Bandama		fr		
district	CI-WR*	Woroba		fr		
autonomous district	CI-YM*	Yamoussoukro		fr		
district	CI-ZZ*	Zanzan		fr		
