; ISO 3166-2:CN
; Source: https://www.iso.org/obp/ui/#iso:code:3166:CN
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	CN-AH	Anhui Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
special administrative region	CN-MO	Aomen Tebiexingzhengqu (see also separate country code entry under MO)		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
municipality	CN-BJ	Beijing Shi		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
municipality	CN-CQ	Chongqing Shi		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-FJ	Fujian Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-GS	Gansu Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-GD	Guangdong Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
autonomous region	CN-GX	Guangxi Zhuangzu Zizhiqu		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-GZ	Guizhou Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-HI	Hainan Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-HE	Hebei Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-HL	Heilongjiang Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-HA	Henan Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
special administrative region	CN-HK	Hong Kong SAR (see also separate country code entry under HK)		en		
province	CN-HB	Hubei Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-HN	Hunan Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-JS	Jiangsu Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-JX	Jiangxi Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-JL	Jilin Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-LN	Liaoning Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
special administrative region	CN-MO	Macao SAR (see also separate country code entry under MO)		en		
special administrative region	CN-MO	Macau SAR (see also separate country code entry under MO)		pt		
autonomous region	CN-NM	Nei Mongol Zizhiqu		zh		
autonomous region	CN-NX	Ningxia Huizu Zizhiqu		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-QH	Qinghai Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-SN	Shaanxi Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-SD	Shandong Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
municipality	CN-SH	Shanghai Shi		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-SX	Shanxi Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-SC	Sichuan Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-TW	Taiwan Sheng (see also separate country code entry under TW)		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
municipality	CN-TJ	Tianjin Shi		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
special administrative region	CN-HK	Xianggang Tebiexingzhengqu (see also separate country code entry under HK)		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
autonomous region	CN-XJ	Xinjiang Uygur Zizhiqu		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
autonomous region	CN-XZ	Xizang Zizhiqu		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-YN	Yunnan Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
province	CN-ZJ	Zhejiang Sheng		zh	National 1958 = ISO 7098:2015 = UN III/8 1977	
