; ISO 3166-2:DJ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:DJ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	DJ-AS*	Ali Sabieh		fr		
region	DJ-AR*	Arta		fr		
region	DJ-OB*	Awbūk		ar	BGN/PCGN 1956	
region	DJ-DI*	Dikhil		fr		
region	DJ-DI*	Dikhīl		ar	BGN/PCGN 1956	
city	DJ-DJ*	Djibouti		fr		
city	DJ-DJ*	Jībūtī		ar	BGN/PCGN 1956	
region	DJ-OB*	Obock		fr		
region	DJ-TA*	Tadjourah		fr		
region	DJ-TA*	Tājūrah		ar	BGN/PCGN 1956	
region	DJ-AS*	‘Alī Şabīḩ		ar	BGN/PCGN 1956	
region	DJ-AR*	‘Artā		ar	BGN/PCGN 1956	
