; ISO 3166-2:DM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:DM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
parish	DM-02*	Saint Andrew		en		
parish	DM-03*	Saint David		en		
parish	DM-04*	Saint George		en		
parish	DM-05*	Saint John		en		
parish	DM-06*	Saint Joseph		en		
parish	DM-07*	Saint Luke		en		
parish	DM-08*	Saint Mark		en		
parish	DM-09*	Saint Patrick		en		
parish	DM-10*	Saint Paul		en		
parish	DM-11*	Saint Peter		en		
