; ISO 3166-2:DZ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:DZ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	DZ-01	Adrar		ar	conventional names	
province	DZ-16	Alger		ar	conventional names	
province	DZ-23	Annaba		ar	conventional names	
province	DZ-44	Aïn Defla		ar	conventional names	
province	DZ-46	Aïn Témouchent		ar	conventional names	
province	DZ-05	Batna		ar	conventional names	
province	DZ-07	Biskra		ar	conventional names	
province	DZ-09	Blida		ar	conventional names	
province	DZ-34	Bordj Bou Arréridj		ar	conventional names	
province	DZ-10	Bouira		ar	conventional names	
province	DZ-35	Boumerdès		ar	conventional names	
province	DZ-08	Béchar		ar	conventional names	
province	DZ-06	Béjaïa		ar	conventional names	
province	DZ-02	Chlef		ar	conventional names	
province	DZ-25	Constantine		ar	conventional names	
province	DZ-17	Djelfa		ar	conventional names	
province	DZ-32	El Bayadh		ar	conventional names	
province	DZ-39	El Oued		ar	conventional names	
province	DZ-36	El Tarf		ar	conventional names	
province	DZ-47	Ghardaïa		ar	conventional names	
province	DZ-24	Guelma		ar	conventional names	
province	DZ-33	Illizi		ar	conventional names	
province	DZ-18	Jijel		ar	conventional names	
province	DZ-40	Khenchela		ar	conventional names	
province	DZ-03	Laghouat		ar	conventional names	
province	DZ-28	M'sila		ar	conventional names	
province	DZ-29	Mascara		ar	conventional names	
province	DZ-43	Mila		ar	conventional names	
province	DZ-27	Mostaganem		ar	conventional names	
province	DZ-26	Médéa		ar	conventional names	
province	DZ-45	Naama		ar	conventional names	
province	DZ-31	Oran		ar	conventional names	
province	DZ-30	Ouargla		ar	conventional names	
province	DZ-04	Oum el Bouaghi		ar	conventional names	
province	DZ-48	Relizane		ar	conventional names	
province	DZ-20	Saïda		ar	conventional names	
province	DZ-22	Sidi Bel Abbès		ar	conventional names	
province	DZ-21	Skikda		ar	conventional names	
province	DZ-41	Souk Ahras		ar	conventional names	
province	DZ-19	Sétif		ar	conventional names	
province	DZ-11	Tamanrasset		ar	conventional names	
province	DZ-14	Tiaret		ar	conventional names	
province	DZ-37	Tindouf		ar	conventional names	
province	DZ-42	Tipaza		ar	conventional names	
province	DZ-38	Tissemsilt		ar	conventional names	
province	DZ-15	Tizi Ouzou		ar	conventional names	
province	DZ-13	Tlemcen		ar	conventional names	
province	DZ-12	Tébessa		ar	conventional names	
