; ISO 3166-2:EG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:EG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
governorate	EG-DK	Ad Daqahlīyah		ar	BGN/PCGN 1956	
governorate	EG-BA*	Al Baḩr al Aḩmar	Red Sea	ar	BGN/PCGN 1956	
governorate	EG-BH	Al Buḩayrah		ar	BGN/PCGN 1956	
governorate	EG-FYM	Al Fayyūm		ar	BGN/PCGN 1956	
governorate	EG-GH	Al Gharbīyah		ar	BGN/PCGN 1956	
governorate	EG-ALX	Al Iskandarīyah	Alexandria	ar	BGN/PCGN 1956	
governorate	EG-IS	Al Ismā'īlīyah		ar	BGN/PCGN 1956	
governorate	EG-GZ	Al Jīzah	Giza	ar	BGN/PCGN 1956	
governorate	EG-MN	Al Minyā		ar	BGN/PCGN 1956	
governorate	EG-MNF	Al Minūfīyah		ar	BGN/PCGN 1956	
governorate	EG-KB	Al Qalyūbīyah		ar	BGN/PCGN 1956	
governorate	EG-C	Al Qāhirah	Cairo	ar	BGN/PCGN 1956	
governorate	EG-LX*	Al Uqşur	Luxor	ar	BGN/PCGN 1956	
governorate	EG-WAD	Al Wādī al Jadīd	New Valley	ar	BGN/PCGN 1956	
governorate	EG-SUZ	As Suways	Suez	ar	BGN/PCGN 1956	
governorate	EG-SHR	Ash Sharqīyah		ar	BGN/PCGN 1956	
governorate	EG-ASN	Aswān		ar	BGN/PCGN 1956	
governorate	EG-AST	Asyūţ		ar	BGN/PCGN 1956	
governorate	EG-BNS	Banī Suwayf		ar	BGN/PCGN 1956	
governorate	EG-PTS	Būr Sa‘īd	Port Said	ar	BGN/PCGN 1956	
governorate	EG-DT	Dumyāţ	Damietta	ar	BGN/PCGN 1956	
governorate	EG-JS*	Janūb Sīnā'	South Sinai	ar	BGN/PCGN 1956	
governorate	EG-KFS	Kafr ash Shaykh		ar	BGN/PCGN 1956	
governorate	EG-MT	Maţrūḩ		ar	BGN/PCGN 1956	
governorate	EG-KN	Qinā		ar	BGN/PCGN 1956	
governorate	EG-SIN	Shamāl Sīnā'	North Sinai	ar	BGN/PCGN 1956	
governorate	EG-SHG	Sūhāj	Sohag	ar	BGN/PCGN 1956	
