; ISO 3166-2:ET
; Source: https://www.iso.org/obp/ui/#iso:code:3166:ET
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
administration	ET-AA*	Addis Ababa		en		
regional state	ET-AF*	Afar		en		
regional state	ET-AM*	Amara		en		
regional state	ET-BE*	Benshangul-Gumaz		en		
regional state	ET-BE*	Bīnshangul Gumuz		am	BGN/PCGN 1967	
administration	ET-DD*	Dire Dawa		en		
administration	ET-DD*	Dirē Dawa		am	BGN/PCGN 1967	
regional state	ET-GA*	Gambela Peoples		en		
regional state	ET-GA*	Gambēla Hizboch		am	BGN/PCGN 1967	
regional state	ET-HA*	Harari People		en		
regional state	ET-HA*	Hārerī Hizb		am	BGN/PCGN 1967	
regional state	ET-OR*	Oromia		en		
regional state	ET-OR*	Oromīya		am	BGN/PCGN 1967	
regional state	ET-SI*	Sidama		en		
regional state	ET-SO*	Somali		en		
regional state	ET-SN*	Southern Nations, Nationalities and Peoples		en		
regional state	ET-SO*	Sumalē		am	BGN/PCGN 1967	
regional state	ET-SI*	Sīdama		am	BGN/PCGN 1967	
regional state	ET-TI*	Tigrai		en		
regional state	ET-TI*	Tigray		am	BGN/PCGN 1967	
regional state	ET-SN*	YeDebub Bihēroch Bihēreseboch na Hizboch		am	BGN/PCGN 1967	
administration	ET-AA*	Ādīs Ābeba		am	BGN/PCGN 1967	
regional state	ET-AF*	Āfar		am	BGN/PCGN 1967	
regional state	ET-AM*	Āmara		am	BGN/PCGN 1967	
