; ISO 3166-2:GE
; Source: https://www.iso.org/obp/ui/#iso:code:3166:GE
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
autonomous republic	GE-AB*	Abkhazia	Apkhazeti	ka	National draft 2002	
autonomous republic	GE-AJ*	Ajaria	Ach'ara	ka	National draft 2002	
region	GE-GU*	Guria		ka	National draft 2002	
region	GE-IM*	Imereti		ka	National draft 2002	
region	GE-KA*	K'akheti		ka	National draft 2002	
region	GE-KK*	Kvemo Kartli		ka	National draft 2002	
region	GE-MM*	Mtskheta-Mtianeti		ka	National draft 2002	
region	GE-RL*	Rach'a-Lechkhumi-Kvemo Svaneti		ka	National draft 2002	
region	GE-SZ*	Samegrelo-Zemo Svaneti		ka	National draft 2002	
region	GE-SJ*	Samtskhe-Javakheti		ka	National draft 2002	
region	GE-SK*	Shida Kartli		ka	National draft 2002	
city	GE-TB*	Tbilisi		ka	National draft 2002	
