; ISO 3166-2:GR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:GR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
administrative region	GR-A*	Anatolikí Makedonía kai Thráki		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-I*	Attikí		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-G*	Dytikí Elláda		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-C*	Dytikí Makedonía		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-F*	Ionía Nísia		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-B*	Kentrikí Makedonía		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-M*	Kríti		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-L*	Nótio Aigaío		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-J*	Pelopónnisos		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-H*	Stereá Elláda		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-E*	Thessalía		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-K*	Vóreio Aigaío		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
self-governed part	GR-69	Ágion Óros		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
administrative region	GR-D*	Ípeiros		el	ELOT 743:1982 = ISO 843:1997 = UN V/19 1987	
