; ISO 3166-2:GT
; Source: https://www.iso.org/obp/ui/#iso:code:3166:GT
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
department	GT-16	Alta Verapaz		es		
department	GT-15	Baja Verapaz		es		
department	GT-04	Chimaltenango		es		
department	GT-20	Chiquimula		es		
department	GT-02	El Progreso		es		
department	GT-05	Escuintla		es		
department	GT-01	Guatemala		es		
department	GT-13	Huehuetenango		es		
department	GT-18	Izabal		es		
department	GT-21	Jalapa		es		
department	GT-22	Jutiapa		es		
department	GT-17	Petén		es		
department	GT-09	Quetzaltenango		es		
department	GT-14	Quiché		es		
department	GT-11	Retalhuleu		es		
department	GT-03	Sacatepéquez		es		
department	GT-12	San Marcos		es		
department	GT-06	Santa Rosa		es		
department	GT-07	Sololá		es		
department	GT-10	Suchitepéquez		es		
department	GT-08	Totonicapán		es		
department	GT-19	Zacapa		es		
