; ISO 3166-2:HR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:HR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	HR-07	Bjelovarsko-bilogorska županija		hr		
county	HR-12	Brodsko-posavska županija		hr		
county	HR-19	Dubrovačko-neretvanska županija		hr		
city	HR-21	Grad Zagreb		hr		
county	HR-18	Istarska županija		hr		
county	HR-04	Karlovačka županija		hr		
county	HR-06	Koprivničko-križevačka županija		hr		
county	HR-02	Krapinsko-zagorska županija		hr		
county	HR-09	Ličko-senjska županija		hr		
county	HR-20	Međimurska županija		hr		
county	HR-14	Osječko-baranjska županija		hr		
county	HR-11	Požeško-slavonska županija		hr		
county	HR-08	Primorsko-goranska županija		hr		
county	HR-03	Sisačko-moslavačka županija		hr		
county	HR-17	Splitsko-dalmatinska županija		hr		
county	HR-05	Varaždinska županija		hr		
county	HR-10	Virovitičko-podravska županija		hr		
county	HR-16	Vukovarsko-srijemska županija		hr		
county	HR-13	Zadarska županija		hr		
county	HR-01	Zagrebačka županija		hr		
county	HR-15	Šibensko-kninska županija		hr		
