; ISO 3166-2:IL
; Source: https://www.iso.org/obp/ui/#iso:code:3166:IL
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	IL-M	Al Awsaţ	El Awsaṭ	ar	BGN/PCGN 1956	
district	IL-D	Al Janūbī	El Janūbī	ar	BGN/PCGN 1956	
district	IL-JM	Al Quds	El Quds	ar	BGN/PCGN 1956	
district	IL-Z	Ash Shamālī	Esh Shamālī	ar	BGN/PCGN 1956	
district	IL-D	HaDarom	Southern	he	National 2006 = UN IX/9 2007	
district	IL-M	HaMerkaz	Central	he	National 2006 = UN IX/9 2007	
district	IL-Z	HaTsafon	Northern	he	National 2006 = UN IX/9 2007	
district	IL-HA	H̱efa	Haifa	he	National 2006 = UN IX/9 2007	
district	IL-TA	Tall Abīb	Tell Abīb	ar	BGN/PCGN 1956	
district	IL-TA	Tel Aviv		he	National 2006 = UN IX/9 2007	
district	IL-JM	Yerushalayim	Jerusalem	he	National 2006 = UN IX/9 2007	
district	IL-HA	Ḩayfā	Ḥeifa	ar	BGN/PCGN 1956	
