; ISO 3166-2:IN
; Source: https://www.iso.org/obp/ui/#iso:code:3166:IN
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
Union territory	IN-AN	Andaman and Nicobar Islands		en	Indian System of Transliteration	
state	IN-AP	Andhra Pradesh		en	Indian System of Transliteration	
state	IN-AR	Arunāchal Pradesh		en	Indian System of Transliteration	
state	IN-AS	Assam		en	Indian System of Transliteration	
state	IN-BR	Bihār		en	Indian System of Transliteration	
Union territory	IN-CH	Chandīgarh		en	Indian System of Transliteration	
state	IN-CT*	Chhattīsgarh		en	Indian System of Transliteration	
Union territory	IN-DL	Delhi		en	Indian System of Transliteration	
Union territory	IN-DH*	Dādra and Nagar Haveli and Damān and Diu		en	Indian System of Transliteration	
state	IN-GA	Goa		en	Indian System of Transliteration	
state	IN-GJ	Gujarāt		en	Indian System of Transliteration	
state	IN-HR	Haryāna		en	Indian System of Transliteration	
state	IN-HP	Himāchal Pradesh		en	Indian System of Transliteration	
Union territory	IN-JK	Jammu and Kashmīr		en	Indian System of Transliteration	
state	IN-JH*	Jhārkhand		en	Indian System of Transliteration	
state	IN-KA	Karnātaka		en	Indian System of Transliteration	
state	IN-KL	Kerala		en	Indian System of Transliteration	
Union territory	IN-LA	Ladākh		en	Indian System of Transliteration	
Union territory	IN-LD	Lakshadweep		en	Indian System of Transliteration	
state	IN-MP	Madhya Pradesh		en	Indian System of Transliteration	
state	IN-MH	Mahārāshtra		en	Indian System of Transliteration	
state	IN-MN	Manipur		en	Indian System of Transliteration	
state	IN-ML	Meghālaya		en	Indian System of Transliteration	
state	IN-MZ	Mizoram		en	Indian System of Transliteration	
state	IN-NL	Nāgāland		en	Indian System of Transliteration	
state	IN-OR	Odisha		en	Indian System of Transliteration	
Union territory	IN-PY	Puducherry	Pondicherry	en	Indian System of Transliteration	
state	IN-PB	Punjab		en	Indian System of Transliteration	
state	IN-RJ	Rājasthān		en	Indian System of Transliteration	
state	IN-SK	Sikkim		en	Indian System of Transliteration	
state	IN-TN	Tamil Nādu		en	Indian System of Transliteration	
state	IN-TG*	Telangāna		en	Indian System of Transliteration	
state	IN-TR	Tripura		en	Indian System of Transliteration	
state	IN-UP	Uttar Pradesh		en	Indian System of Transliteration	
state	IN-UT*	Uttarākhand		en	Indian System of Transliteration	
state	IN-WB	West Bengal		en	Indian System of Transliteration	
