; ISO 3166-2:IQ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:IQ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
governorate	IQ-AN*	Al Anbār		ar	BGN/PCGN 1956	
governorate	IQ-BA*	Al Başrah		ar	BGN/PCGN 1956	
governorate	IQ-MU*	Al Muthanná		ar	BGN/PCGN 1956	
governorate	IQ-QA*	Al Qādisīyah		ar	BGN/PCGN 1956	
governorate	IQ-NA*	An Najaf		ar	BGN/PCGN 1956	
governorate	IQ-AR*	Arbīl		ar	BGN/PCGN 1956	
governorate	IQ-SU*	As Sulaymānīyah		ar	BGN/PCGN 1956	
governorate	IQ-BG*	Baghdād		ar	BGN/PCGN 1956	
governorate	IQ-BB*	Bābil		ar	BGN/PCGN 1956	
governorate	IQ-DA*	Dahūk		ar	BGN/PCGN 1956	
governorate	IQ-DQ*	Dhī Qār		ar	BGN/PCGN 1956	
governorate	IQ-DA*	Dihok		ku	BGN/PCGN 2007	
governorate	IQ-DI*	Diyālá		ar	BGN/PCGN 1956	
governorate	IQ-AR*	Hewlêr		ku	BGN/PCGN 2007	
governorate	IQ-KA*	Karbalā’		ar	BGN/PCGN 1956	
governorate	IQ-KI*	Kirkūk		ar	BGN/PCGN 1956	
governorate	IQ-MA*	Maysān		ar	BGN/PCGN 1956	
governorate	IQ-NI*	Nīnawá		ar	BGN/PCGN 1956	
governorate	IQ-SU*	Slêmanî		ku	BGN/PCGN 2007	
governorate	IQ-WA*	Wāsiţ		ar	BGN/PCGN 1956	
governorate	IQ-SD*	Şalāḩ ad Dīn		ar	BGN/PCGN 1956	
