; ISO 3166-2:IR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:IR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	IR-30	Alborz		fa	BGN/PCGN 1958	
province	IR-24	Ardabīl		fa	BGN/PCGN 1958	
province	IR-18	Būshehr		fa	BGN/PCGN 1958	
province	IR-14	Chahār Maḩāl va Bakhtīārī		fa	BGN/PCGN 1958	
province	IR-10	Eşfahān		fa	BGN/PCGN 1958	
province	IR-07	Fārs		fa	BGN/PCGN 1958	
province	IR-27	Golestān		fa	BGN/PCGN 1958	
province	IR-01	Gīlān		fa	BGN/PCGN 1958	
province	IR-13	Hamadān		fa	BGN/PCGN 1958	
province	IR-22	Hormozgān		fa	BGN/PCGN 1958	
province	IR-08	Kermān		fa	BGN/PCGN 1958	
province	IR-05	Kermānshāh		fa	BGN/PCGN 1958	
province	IR-29	Khorāsān-e Jonūbī		fa	BGN/PCGN 1958	
province	IR-09	Khorāsān-e Raẕavī		fa	BGN/PCGN 1958	
province	IR-28	Khorāsān-e Shomālī		fa	BGN/PCGN 1958	
province	IR-06	Khūzestān		fa	BGN/PCGN 1958	
province	IR-17	Kohgīlūyeh va Bowyer Aḩmad		fa	BGN/PCGN 1958	
province	IR-12	Kordestān		fa	BGN/PCGN 1958	
province	IR-15	Lorestān		fa	BGN/PCGN 1958	
province	IR-00	Markazī		fa	BGN/PCGN 1958	
province	IR-02	Māzandarān		fa	BGN/PCGN 1958	
province	IR-26	Qazvīn		fa	BGN/PCGN 1958	
province	IR-25	Qom		fa	BGN/PCGN 1958	
province	IR-20	Semnān		fa	BGN/PCGN 1958	
province	IR-11	Sīstān va Balūchestān		fa	BGN/PCGN 1958	
province	IR-23	Tehrān		fa	BGN/PCGN 1958	
province	IR-21	Yazd		fa	BGN/PCGN 1958	
province	IR-19	Zanjān		fa	BGN/PCGN 1958	
province	IR-04	Āz̄ārbāyjān-e Ghārbī		fa	BGN/PCGN 1958	
province	IR-03	Āz̄ārbāyjān-e Shārqī		fa	BGN/PCGN 1958	
province	IR-16	Īlām		fa	BGN/PCGN 1958	
