; ISO 3166-2:JM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:JM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
parish	JM-13	Clarendon		en		
parish	JM-09	Hanover		en		
parish	JM-01	Kingston		en		
parish	JM-12	Manchester		en		
parish	JM-04	Portland		en		
parish	JM-02	Saint Andrew		en		
parish	JM-06	Saint Ann		en		
parish	JM-14	Saint Catherine		en		
parish	JM-11	Saint Elizabeth		en		
parish	JM-08	Saint James		en		
parish	JM-05	Saint Mary		en		
parish	JM-03	Saint Thomas		en		
parish	JM-07	Trelawny		en		
parish	JM-10	Westmoreland		en		
