; ISO 3166-2:KE
; Source: https://www.iso.org/obp/ui/#iso:code:3166:KE
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	KE-01*	Baringo		en		
county	KE-02*	Bomet		en		
county	KE-03*	Bungoma		en		
county	KE-04*	Busia		en		
county	KE-05*	Elgeyo/Marakwet		en		
county	KE-06*	Embu		en		
county	KE-07*	Garissa		en		
county	KE-08*	Homa Bay		en		
county	KE-09*	Isiolo		en		
county	KE-10*	Kajiado		en		
county	KE-11*	Kakamega		en		
county	KE-12*	Kericho		en		
county	KE-13*	Kiambu		en		
county	KE-14*	Kilifi		en		
county	KE-15*	Kirinyaga		en		
county	KE-16*	Kisii		en		
county	KE-17*	Kisumu		en		
county	KE-18*	Kitui		en		
county	KE-19*	Kwale		en		
county	KE-20*	Laikipia		en		
county	KE-21*	Lamu		en		
county	KE-22*	Machakos		en		
county	KE-23*	Makueni		en		
county	KE-24*	Mandera		en		
county	KE-25*	Marsabit		en		
county	KE-26*	Meru		en		
county	KE-27*	Migori		en		
county	KE-28*	Mombasa		en		
county	KE-29*	Murang'a		en		
county	KE-30*	Nairobi City		en		
county	KE-31*	Nakuru		en		
county	KE-32*	Nandi		en		
county	KE-33*	Narok		en		
county	KE-34*	Nyamira		en		
county	KE-35*	Nyandarua		en		
county	KE-36*	Nyeri		en		
county	KE-37*	Samburu		en		
county	KE-38*	Siaya		en		
county	KE-39*	Taita/Taveta		en		
county	KE-40*	Tana River		en		
county	KE-41*	Tharaka-Nithi		en		
county	KE-42*	Trans Nzoia		en		
county	KE-43*	Turkana		en		
county	KE-44*	Uasin Gishu		en		
county	KE-45*	Vihiga		en		
county	KE-46*	Wajir		en		
county	KE-47*	West Pokot		en		
