; ISO 3166-2:KM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:KM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
island	KM-G*	Andjazîdja		ar	conventional names	
island	KM-A*	Andjouân		ar	conventional names	
island	KM-G*	Anjazījah		ar	BGN/PCGN 1956	
island	KM-A*	Anjouan		fr		
island	KM-A*	Anjwān		ar	BGN/PCGN 1956	
island	KM-G*	Grande Comore		fr		
island	KM-M*	Mohéli		fr		
island	KM-M*	Moûhîlî		ar	conventional names	
island	KM-M*	Mwali		-		
island	KM-M*	Mūhīlī		ar	BGN/PCGN 1956	
island	KM-A*	Ndzuwani		-		
island	KM-G*	Ngazidja		-		
