; ISO 3166-2:KR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:KR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
metropolitan city	KR-26	Busan-gwangyeoksi	Busan	ko	National 2000	
province	KR-43	Chungcheongbuk-do	Chungbuk	ko	National 2000	
province	KR-44	Chungcheongnam-do	Chungnam	ko	National 2000	
metropolitan city	KR-27	Daegu-gwangyeoksi	Daegu	ko	National 2000	
metropolitan city	KR-30	Daejeon-gwangyeoksi	Daejeon	ko	National 2000	
province	KR-42	Gangwon-do	Gangwon	ko	National 2000	
metropolitan city	KR-29	Gwangju-gwangyeoksi	Gwangju	ko	National 2000	
province	KR-41	Gyeonggi-do	Gyeonggi	ko	National 2000	
province	KR-47	Gyeongsangbuk-do	Gyeongbuk	ko	National 2000	
province	KR-48	Gyeongsangnam-do	Gyeongnam	ko	National 2000	
metropolitan city	KR-28	Incheon-gwangyeoksi	Incheon	ko	National 2000	
special self-governing province	KR-49	Jeju-teukbyeoljachido	Jeju	ko	National 2000	
province	KR-45	Jeollabuk-do	Jeonbuk	ko	National 2000	
province	KR-46	Jeollanam-do	Jeonnam	ko	National 2000	
special self-governing city	KR-50	Sejong		ko	National 2000	
special city	KR-11	Seoul-teukbyeolsi	Seoul	ko	National 2000	
metropolitan city	KR-31	Ulsan-gwangyeoksi	Ulsan	ko	National 2000	
