; ISO 3166-2:LA
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LA
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	LA-AT	Attapu	Attapeu	lo	LAO CNT 1965	
province	LA-BK*	Bokèo		lo	LAO CNT 1965	
province	LA-BL*	Bolikhamxai	Borikhamxay	lo	LAO CNT 1965	
province	LA-CH*	Champasak	Champasack	lo	LAO CNT 1965	
province	LA-HO*	Houaphan	Huaphanh	lo	LAO CNT 1965	
province	LA-KH*	Khammouan	Khammuane	lo	LAO CNT 1965	
province	LA-LM*	Louang Namtha	Luangnamtha	lo	LAO CNT 1965	
province	LA-LP*	Louangphabang	Luangprabang	lo	LAO CNT 1965	
province	LA-OU*	Oudômxai	Oudomxay	lo	LAO CNT 1965	
province	LA-PH*	Phôngsali	Phongsaly	lo	LAO CNT 1965	
province	LA-SL*	Salavan	Saravane	lo	LAO CNT 1965	
province	LA-SV*	Savannakhét	Savannakhet	lo	LAO CNT 1965	
prefecture	LA-VT*	Viangchan	Vientiane	lo	LAO CNT 1965	
province	LA-VI*	Viangchan	Vientiane	lo	LAO CNT 1965	
province	LA-XA*	Xaignabouli	Xayabury	lo	LAO CNT 1965	
province	LA-XS*	Xaisômboun	Xaysomboon	lo	LAO CNT 1965	
province	LA-XI*	Xiangkhouang	Xiengkhuang	lo	LAO CNT 1965	
province	LA-XE*	Xékong	Sekong	lo	LAO CNT 1965	
