; ISO 3166-2:LB
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LB
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
governorate	LB-AK*	Aakkâr		ar	conventional names	
governorate	LB-BI*	Al Biqā‘		ar	BGN/PCGN 1956	
governorate	LB-JA*	Al Janūb		ar	BGN/PCGN 1956	
governorate	LB-NA*	An Nabaţīyah		ar	BGN/PCGN 1956	
governorate	LB-AS*	Ash Shimāl		ar	BGN/PCGN 1956	
governorate	LB-BH*	Baalbek-Hermel		ar	conventional names	
governorate	LB-BA*	Bayrūt		ar	BGN/PCGN 1956	
governorate	LB-BA*	Beyrouth		ar	conventional names	
governorate	LB-BI*	Béqaa		ar	conventional names	
governorate	LB-BH*	B‘alabak-Al Hirmil		ar	BGN/PCGN 1956	
governorate	LB-JL*	Jabal Lubnān		ar	BGN/PCGN 1956	
governorate	LB-AS*	Liban-Nord		ar	conventional names	
governorate	LB-JA*	Liban-Sud		ar	conventional names	
governorate	LB-JL*	Mont-Liban		ar	conventional names	
governorate	LB-NA*	Nabatîyé		ar	conventional names	
governorate	LB-AK*	‘Akkār		ar	BGN/PCGN 1956	
