; ISO 3166-2:LC
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LC
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	LC-01*	Anse la Raye		en		
district	LC-12*	Canaries		en		
district	LC-02*	Castries		en		
district	LC-03*	Choiseul		en		
district	LC-05*	Dennery		en		
district	LC-06*	Gros Islet		en		
district	LC-07*	Laborie		en		
district	LC-08*	Micoud		en		
district	LC-10*	Soufrière		en		
district	LC-11*	Vieux Fort		en		
