; ISO 3166-2:LI
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LI
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
commune	LI-01*	Balzers		de		
commune	LI-02*	Eschen		de		
commune	LI-03*	Gamprin		de		
commune	LI-04*	Mauren		de		
commune	LI-05*	Planken		de		
commune	LI-06*	Ruggell		de		
commune	LI-07*	Schaan		de		
commune	LI-08*	Schellenberg		de		
commune	LI-09*	Triesen		de		
commune	LI-10*	Triesenberg		de		
commune	LI-11*	Vaduz		de		
