; ISO 3166-2:LR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	LR-BM*	Bomi		en		
county	LR-BG*	Bong		en		
county	LR-GP*	Gbarpolu		en		
county	LR-GB*	Grand Bassa		en		
county	LR-CM*	Grand Cape Mount		en		
county	LR-GG*	Grand Gedeh		en		
county	LR-GK*	Grand Kru		en		
county	LR-LO*	Lofa		en		
county	LR-MG*	Margibi		en		
county	LR-MY*	Maryland		en		
county	LR-MO*	Montserrado		en		
county	LR-NI*	Nimba		en		
county	LR-RI*	River Cess	Rivercess	en		
county	LR-RG*	River Gee		en		
county	LR-SI*	Sinoe		en		
