; ISO 3166-2:LS
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LS
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	LS-D	Berea		en		
district	LS-D	Berea		st		
district	LS-B	Botha-Bothe	Butha-Buthe	en		
district	LS-B	Botha-Bothe	Butha-Buthe	st		
district	LS-C	Leribe		en		
district	LS-C	Leribe		st		
district	LS-E	Mafeteng		en		
district	LS-E	Mafeteng		st		
district	LS-A	Maseru		en		
district	LS-A	Maseru		st		
district	LS-F	Mohale's Hoek		en		
district	LS-F	Mohale's Hoek		st		
district	LS-J	Mokhotlong		en		
district	LS-J	Mokhotlong		st		
district	LS-H	Qacha's Nek		en		
district	LS-H	Qacha's Nek		st		
district	LS-G	Quthing		en		
district	LS-G	Quthing		st		
district	LS-K	Thaba-Tseka		en		
district	LS-K	Thaba-Tseka		st		
