; ISO 3166-2:LV
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LV
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
municipality	LV-002*	Aizkraukles novads	Aizkraukle	lv		
municipality	LV-007*	Alūksnes novads	Alūksne	lv		
municipality	LV-111*	Augšdaugavas novads	Augšdaugava	lv		
municipality	LV-015*	Balvu novads	Balvi	lv		
municipality	LV-016*	Bauskas novads	Bauska	lv		
municipality	LV-022*	Cēsu novads	Cēsis	lv		
state city	LV-DGV	Daugavpils		lv		
municipality	LV-112*	Dienvidkurzemes Novads	Dienvidkurzeme	lv		
municipality	LV-026*	Dobeles novads	Dobele	lv		
municipality	LV-033*	Gulbenes novads	Gulbene	lv		
state city	LV-JEL*	Jelgava		lv		
municipality	LV-041*	Jelgavas novads	Jelgava	lv		
municipality	LV-042*	Jēkabpils novads	Jēkabpils	lv		
state city	LV-JUR*	Jūrmala		lv		
municipality	LV-047*	Krāslavas novads	Krāslava	lv		
municipality	LV-050*	Kuldīgas novads	Kuldīga	lv		
state city	LV-LPX	Liepāja		lv		
municipality	LV-054*	Limbažu novads	Limbaži	lv		
municipality	LV-058*	Ludzas novads	Ludza	lv		
municipality	LV-056*	Līvānu novads	Līvāni	lv		
municipality	LV-059*	Madonas novads	Madona	lv		
municipality	LV-062*	Mārupes novads	Mārupe	lv		
municipality	LV-067*	Ogres novads	Ogre	lv		
municipality	LV-068*	Olaines novads	Olaine	lv		
municipality	LV-073*	Preiļu novads	Preiļi	lv		
municipality	LV-080*	Ropažu novads	Ropaži	lv		
state city	LV-REZ*	Rēzekne		lv		
municipality	LV-077*	Rēzeknes novads	Rēzekne	lv		
state city	LV-RIX	Rīga		lv		
municipality	LV-087*	Salaspils novads	Salaspils	lv		
municipality	LV-088*	Saldus novads	Saldus	lv		
municipality	LV-089*	Saulkrastu novads	Saulkrasti	lv		
municipality	LV-091*	Siguldas novads	Sigulda	lv		
municipality	LV-094*	Smiltenes novads	Smiltene	lv		
municipality	LV-097*	Talsu novads	Talsi	lv		
municipality	LV-099*	Tukuma novads	Tukums	lv		
municipality	LV-101*	Valkas novads	Valka	lv		
municipality	LV-113*	Valmieras Novads	Valmiera	lv		
municipality	LV-102*	Varakļānu novads	Varakļāni	lv		
state city	LV-VEN*	Ventspils		lv		
municipality	LV-106*	Ventspils novads	Ventspils	lv		
municipality	LV-011*	Ādažu novads	Ādaži	lv		
municipality	LV-052*	Ķekavas novads	Ķekava	lv		
