; ISO 3166-2:LY
; Source: https://www.iso.org/obp/ui/#iso:code:3166:LY
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
popularate	LY-BU*	Al Buţnān		ar	BGN/PCGN 1956	
popularate	LY-JA*	Al Jabal al Akhḑar		ar	BGN/PCGN 1956	
popularate	LY-JG*	Al Jabal al Gharbī		ar	BGN/PCGN 1956	
popularate	LY-JI*	Al Jafārah		ar	BGN/PCGN 1956	
popularate	LY-JU*	Al Jufrah		ar	BGN/PCGN 1956	
popularate	LY-KF*	Al Kufrah		ar	BGN/PCGN 1956	
popularate	LY-MJ*	Al Marj		ar	BGN/PCGN 1956	
popularate	LY-MB*	Al Marqab		ar	BGN/PCGN 1956	
popularate	LY-WA*	Al Wāḩāt		ar	BGN/PCGN 1956	
popularate	LY-NQ*	An Nuqāţ al Khams		ar	BGN/PCGN 1956	
popularate	LY-ZA*	Az Zāwiyah		ar	BGN/PCGN 1956	
popularate	LY-BA*	Banghāzī		ar	BGN/PCGN 1956	
popularate	LY-DR*	Darnah		ar	BGN/PCGN 1956	
popularate	LY-GT*	Ghāt		ar	BGN/PCGN 1956	
popularate	LY-MI*	Mişrātah		ar	BGN/PCGN 1956	
popularate	LY-MQ*	Murzuq		ar	BGN/PCGN 1956	
popularate	LY-NL*	Nālūt		ar	BGN/PCGN 1956	
popularate	LY-SB*	Sabhā		ar	BGN/PCGN 1956	
popularate	LY-SR*	Surt		ar	BGN/PCGN 1956	
popularate	LY-WD*	Wādī al Ḩayāt		ar	BGN/PCGN 1956	
popularate	LY-WS*	Wādī ash Shāţi’		ar	BGN/PCGN 1956	
popularate	LY-TB*	Ţarābulus		ar	BGN/PCGN 1956	
