; ISO 3166-2:MA
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MA
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
prefecture	MA-AGD*	Agadir-Ida-Ou-Tanane		ar	conventional names	MA-09
province	MA-HAO*	Al Haouz		ar	conventional names	MA-07
province	MA-HOC*	Al Hoceïma		ar	conventional names	MA-01
province	MA-AOU*	Aousserd (EH)		ar	conventional names	MA-12
province	MA-ASZ*	Assa-Zag (EH-partial)		ar	conventional names	MA-10
province	MA-AZI*	Azilal		ar	conventional names	MA-05
province	MA-BES*	Benslimane		ar	conventional names	MA-06
province	MA-BER*	Berkane		ar	conventional names	MA-02
province	MA-BRR*	Berrechid		ar	conventional names	MA-06
province	MA-BOD*	Boujdour (EH)		ar	conventional names	MA-11
province	MA-BOM*	Boulemane		ar	conventional names	MA-03
province	MA-BEM*	Béni Mellal		ar	conventional names	MA-05
region	MA-05	Béni Mellal-Khénifra		ar	conventional names	
prefecture	MA-CAS*	Casablanca	Dar el Beïda	ar	conventional names	MA-06
region	MA-06	Casablanca-Settat		ar	conventional names	
province	MA-CHE*	Chefchaouen		ar	conventional names	MA-01
province	MA-CHI*	Chichaoua		ar	conventional names	MA-07
province	MA-CHT*	Chtouka-Ait Baha		ar	conventional names	MA-06
region	MA-12	Dakhla-Oued Ed-Dahab (EH)		ar	conventional names	
province	MA-DRI*	Driouch		ar	conventional names	MA-02
region	MA-08	Drâa-Tafilalet		ar	conventional names	
province	MA-HAJ*	El Hajeb		ar	conventional names	MA-03
province	MA-JDI*	El Jadida		ar	conventional names	MA-06
province	MA-KES*	El Kelâa des Sraghna		ar	conventional names	MA-07
province	MA-ERR*	Errachidia		ar	conventional names	MA-08
province	MA-ESM*	Es-Semara (EH-partial)		ar	conventional names	MA-11
province	MA-ESI*	Essaouira		ar	conventional names	MA-07
province	MA-FAH*	Fahs-Anjra		ar	conventional names	MA-01
province	MA-FIG*	Figuig		ar	conventional names	MA-02
province	MA-FQH*	Fquih Ben Salah		ar	conventional names	MA-05
prefecture	MA-FES*	Fès		ar	conventional names	MA-03
region	MA-03	Fès-Meknès		ar	conventional names	
province	MA-GUE*	Guelmim		ar	conventional names	MA-10
region	MA-10	Guelmim-Oued Noun (EH-partial)		ar	conventional names	
province	MA-GUF*	Guercif		ar	conventional names	MA-02
province	MA-IFR*	Ifrane		ar	conventional names	MA-03
