; ISO 3166-2:MC
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MC
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
quarter	MC-FO*	Fontvieille		fr		
quarter	MC-JE*	Jardin Exotique		fr		
quarter	MC-CL*	La Colle		fr		
quarter	MC-CO*	La Condamine		fr		
quarter	MC-GA*	La Gare		fr		
quarter	MC-SO*	La Source		fr		
quarter	MC-LA*	Larvotto		fr		
quarter	MC-MA*	Malbousquet		fr		
quarter	MC-MO*	Monaco-Ville		fr		
quarter	MC-MG*	Moneghetti		fr		
quarter	MC-MC*	Monte-Carlo		fr		
quarter	MC-MU*	Moulins		fr		
quarter	MC-PH*	Port-Hercule		fr		
quarter	MC-SR*	Saint-Roman		fr		
quarter	MC-SD*	Sainte-Dévote		fr		
quarter	MC-SP*	Spélugues		fr		
quarter	MC-VR*	Vallon de la Rousse		fr		
