; ISO 3166-2:MD
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MD
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	MD-AN*	Anenii Noi		ro		
district	MD-BS*	Basarabeasca		ro		
city	MD-BD*	Bender [Tighina]		ro		
district	MD-BR*	Briceni		ro		
city	MD-BA*	Bălți		ro		
district	MD-CA*	Cahul		ro		
district	MD-CT*	Cantemir		ro		
city	MD-CU*	Chișinău		ro		
district	MD-CM*	Cimișlia		ro		
district	MD-CR*	Criuleni		ro		
district	MD-CL*	Călărași		ro		
district	MD-CS*	Căușeni		ro		
district	MD-DO*	Dondușeni		ro		
district	MD-DR*	Drochia		ro		
district	MD-DU*	Dubăsari		ro		
district	MD-ED*	Edineț		ro		
district	MD-FL*	Florești		ro		
district	MD-FA*	Fălești		ro		
district	MD-GL*	Glodeni		ro		
autonomous territorial unit	MD-GA*	Găgăuzia, Unitatea teritorială autonomă (UTAG)		ro		
district	MD-HI*	Hîncești		ro		
district	MD-IA*	Ialoveni		ro		
district	MD-LE*	Leova		ro		
district	MD-NI*	Nisporeni		ro		
district	MD-OC*	Ocnița		ro		
district	MD-OR*	Orhei		ro		
district	MD-RE*	Rezina		ro		
district	MD-RI*	Rîșcani		ro		
district	MD-SO*	Soroca		ro		
district	MD-ST*	Strășeni		ro		
territorial unit	MD-SN*	Stînga Nistrului, unitatea teritorială din		ro		
district	MD-SI*	Sîngerei		ro		
district	MD-TA*	Taraclia		ro		
district	MD-TE*	Telenești		ro		
district	MD-UN*	Ungheni		ro		
district	MD-SD*	Șoldănești		ro		
district	MD-SV*	Ștefan Vodă		ro		
