; ISO 3166-2:MK
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MK
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
municipality	MK-801	Aerodrom †		mk	BGN/PCGN 2013	
municipality	MK-802	Aračinovo		mk	BGN/PCGN 2013	
municipality	MK-201	Berovo		mk	BGN/PCGN 2013	
municipality	MK-501	Bitola		mk	BGN/PCGN 2013	
municipality	MK-401	Bogdanci		mk	BGN/PCGN 2013	
municipality	MK-601	Bogovinje		mk	BGN/PCGN 2013	
municipality	MK-402	Bosilovo		mk	BGN/PCGN 2013	
municipality	MK-602	Brvenica		mk	BGN/PCGN 2013	
municipality	MK-803	Butel †		mk	BGN/PCGN 2013	
municipality	MK-313	Centar Župa		mk	BGN/PCGN 2013	
municipality	MK-814	Centar †		mk	BGN/PCGN 2013	
municipality	MK-303	Debar		mk	BGN/PCGN 2013	
municipality	MK-304	Debrca		mk	BGN/PCGN 2013	
municipality	MK-203	Delčevo		mk	BGN/PCGN 2013	
municipality	MK-502	Demir Hisar		mk	BGN/PCGN 2013	
municipality	MK-103	Demir Kapija		mk	BGN/PCGN 2013	
municipality	MK-406	Dojran		mk	BGN/PCGN 2013	
municipality	MK-503	Dolneni		mk	BGN/PCGN 2013	
municipality	MK-804	Gazi Baba †		mk	BGN/PCGN 2013	
municipality	MK-405	Gevgelija		mk	BGN/PCGN 2013	
municipality	MK-805	Gjorče Petrov †		mk	BGN/PCGN 2013	
municipality	MK-604	Gostivar		mk	BGN/PCGN 2013	
municipality	MK-102	Gradsko		mk	BGN/PCGN 2013	
municipality	MK-807	Ilinden		mk	BGN/PCGN 2013	
municipality	MK-606	Jegunovce		mk	BGN/PCGN 2013	
municipality	MK-205	Karbinci		mk	BGN/PCGN 2013	
municipality	MK-808	Karpoš †		mk	BGN/PCGN 2013	
municipality	MK-104	Kavadarci		mk	BGN/PCGN 2013	
municipality	MK-809	Kisela Voda †		mk	BGN/PCGN 2013	
municipality	MK-307	Kičevo		mk	BGN/PCGN 2013	
municipality	MK-407	Konče		mk	BGN/PCGN 2013	
municipality	MK-206	Kočani		mk	BGN/PCGN 2013	
municipality	MK-701	Kratovo		mk	BGN/PCGN 2013	
municipality	MK-702	Kriva Palanka		mk	BGN/PCGN 2013	
municipality	MK-504	Krivogaštani		mk	BGN/PCGN 2013	
municipality	MK-505	Kruševo		mk	BGN/PCGN 2013	
municipality	MK-703	Kumanovo		mk	BGN/PCGN 2013	
municipality	MK-704	Lipkovo		mk	BGN/PCGN 2013	
municipality	MK-105	Lozovo		mk	BGN/PCGN 2013	
municipality	MK-207	Makedonska Kamenica		mk	BGN/PCGN 2013	
municipality	MK-308	Makedonski Brod		mk	BGN/PCGN 2013	
municipality	MK-607	Mavrovo i Rostuše		mk	BGN/PCGN 2013	
municipality	MK-506	Mogila		mk	BGN/PCGN 2013	
municipality	MK-106	Negotino		mk	BGN/PCGN 2013	
municipality	MK-507	Novaci		mk	BGN/PCGN 2013	
municipality	MK-408	Novo Selo		mk	BGN/PCGN 2013	
municipality	MK-310	Ohrid		mk	BGN/PCGN 2013	
municipality	MK-208	Pehčevo		mk	BGN/PCGN 2013	
municipality	MK-810	Petrovec		mk	BGN/PCGN 2013	
municipality	MK-311	Plasnica		mk	BGN/PCGN 2013	
municipality	MK-508	Prilep		mk	BGN/PCGN 2013	
municipality	MK-209	Probištip		mk	BGN/PCGN 2013	
municipality	MK-409	Radoviš		mk	BGN/PCGN 2013	
municipality	MK-705	Rankovce		mk	BGN/PCGN 2013	
municipality	MK-509	Resen		mk	BGN/PCGN 2013	
municipality	MK-107	Rosoman		mk	BGN/PCGN 2013	
municipality	MK-811	Saraj †		mk	BGN/PCGN 2013	
municipality	MK-812	Sopište		mk	BGN/PCGN 2013	
municipality	MK-706	Staro Nagoričane		mk	BGN/PCGN 2013	
municipality	MK-312	Struga		mk	BGN/PCGN 2013	
municipality	MK-410	Strumica		mk	BGN/PCGN 2013	
municipality	MK-813	Studeničani		mk	BGN/PCGN 2013	
municipality	MK-108	Sveti Nikole		mk	BGN/PCGN 2013	
municipality	MK-608	Tearce		mk	BGN/PCGN 2013	
municipality	MK-609	Tetovo		mk	BGN/PCGN 2013	
municipality	MK-403	Valandovo		mk	BGN/PCGN 2013	
municipality	MK-404	Vasilevo		mk	BGN/PCGN 2013	
municipality	MK-101	Veles		mk	BGN/PCGN 2013	
municipality	MK-301	Vevčani		mk	BGN/PCGN 2013	
municipality	MK-202	Vinica		mk	BGN/PCGN 2013	
municipality	MK-603	Vrapčište		mk	BGN/PCGN 2013	
municipality	MK-806	Zelenikovo		mk	BGN/PCGN 2013	
municipality	MK-204	Zrnovci		mk	BGN/PCGN 2013	
municipality	MK-815	Čair †		mk	BGN/PCGN 2013	
municipality	MK-109	Čaška		mk	BGN/PCGN 2013	
municipality	MK-210	Češinovo-Obleševo		mk	BGN/PCGN 2013	
municipality	MK-816	Čučer-Sandevo		mk	BGN/PCGN 2013	
municipality	MK-211	Štip		mk	BGN/PCGN 2013	
municipality	MK-817	Šuto Orizari †		mk	BGN/PCGN 2013	
municipality	MK-605	Želino		mk	BGN/PCGN 2013	
