; ISO 3166-2:ML
; Source: https://www.iso.org/obp/ui/#iso:code:3166:ML
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	ML-BKO	Bamako		fr		
region	ML-7	Gao		fr		
region	ML-1	Kayes		fr		
region	ML-8	Kidal		fr		
region	ML-2	Koulikoro		fr		
region	ML-5	Mopti		fr		
region	ML-9	Ménaka		fr		
region	ML-3	Sikasso		fr		
region	ML-4	Ségou		fr		
region	ML-10	Taoudénit	Taoudenni; Taoudéni	fr		
region	ML-6	Tombouctou		fr		
