; ISO 3166-2:MM
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MM
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	MM-07	Ayeyarwady		my	conventional names	
region	MM-02	Bago		my	conventional names	
state	MM-14	Chin		my	conventional names	
state	MM-11	Kachin		my	conventional names	
state	MM-12	Kayah		my	conventional names	
state	MM-13	Kayin		my	conventional names	
region	MM-03	Magway		my	conventional names	
region	MM-04	Mandalay		my	conventional names	
state	MM-15	Mon		my	conventional names	
union territory	MM-18	Nay Pyi Taw		my	conventional names	
state	MM-16	Rakhine		my	conventional names	
region	MM-01	Sagaing		my	conventional names	
state	MM-17	Shan		my	conventional names	
region	MM-05	Tanintharyi		my	conventional names	
region	MM-06	Yangon		my	conventional names	
