; ISO 3166-2:MN
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MN
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	MN-073	Arhangay		mn	BGN/PCGN 1964	
province	MN-071	Bayan-Ölgiy		mn	BGN/PCGN 1964	
province	MN-069	Bayanhongor		mn	BGN/PCGN 1964	
province	MN-067	Bulgan		mn	BGN/PCGN 1964	
province	MN-037	Darhan uul		mn	BGN/PCGN 1964	
province	MN-061	Dornod		mn	BGN/PCGN 1964	
province	MN-063	Dornogovĭ		mn	BGN/PCGN 1964	
province	MN-059	Dundgovĭ		mn	BGN/PCGN 1964	
province	MN-057	Dzavhan		mn	BGN/PCGN 1964	
province	MN-065	Govĭ-Altay		mn	BGN/PCGN 1964	
province	MN-064	Govĭ-Sümber		mn	BGN/PCGN 1964	
province	MN-039	Hentiy		mn	BGN/PCGN 1964	
province	MN-043	Hovd		mn	BGN/PCGN 1964	
province	MN-041	Hövsgöl		mn	BGN/PCGN 1964	
province	MN-035	Orhon		mn	BGN/PCGN 1964	
province	MN-049	Selenge		mn	BGN/PCGN 1964	
province	MN-051	Sühbaatar		mn	BGN/PCGN 1964	
province	MN-047	Töv		mn	BGN/PCGN 1964	
capital city	MN-1	Ulaanbaatar		mn	BGN/PCGN 1964	
province	MN-046	Uvs		mn	BGN/PCGN 1964	
province	MN-053	Ömnögovĭ		mn	BGN/PCGN 1964	
province	MN-055	Övörhangay		mn	BGN/PCGN 1964	
