; ISO 3166-2:MR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	MR-07	Adrar		ar	conventional names	
region	MR-03	Assaba		ar	conventional names	
region	MR-05	Brakna		ar	conventional names	
region	MR-08	Dakhlet Nouâdhibou		ar	conventional names	
region	MR-04	Gorgol		ar	conventional names	
region	MR-10	Guidimaka		ar	conventional names	
region	MR-01	Hodh ech Chargui		ar	conventional names	
region	MR-02	Hodh el Gharbi		ar	conventional names	
region	MR-12	Inchiri		ar	conventional names	
region	MR-14	Nouakchott Nord		fr		
region	MR-13	Nouakchott Ouest		fr		
region	MR-15	Nouakchott Sud		fr		
region	MR-13	Nuwākshūţ al Gharbīyah		ar	BGN/PCGN 1956	
region	MR-15	Nuwākshūţ al Janūbīyah		ar	BGN/PCGN 1956	
region	MR-14	Nuwākshūţ ash Shamālīyah		ar	BGN/PCGN 1956	
region	MR-09	Tagant		ar	conventional names	
region	MR-11	Tiris Zemmour		ar	conventional names	
region	MR-06	Trarza		ar	conventional names	
