; ISO 3166-2:MZ
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MZ
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	MZ-P	Cabo Delgado		pt		
province	MZ-G	Gaza		pt		
province	MZ-I	Inhambane		pt		
province	MZ-B	Manica		pt		
city	MZ-MPM	Maputo		pt		
province	MZ-L	Maputo		pt		
province	MZ-N	Nampula		pt		
province	MZ-A*	Niassa		pt		
province	MZ-S*	Sofala		pt		
province	MZ-T	Tete		pt		
province	MZ-Q	Zambézia		pt		
