; ISO 3166-2:NG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:NG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
state	NG-AB*	Abia		en		
capital territory	NG-FC	Abuja Federal Capital Territory		en		
state	NG-AD*	Adamawa		en		
state	NG-AK	Akwa Ibom		en		
state	NG-AN*	Anambra		en		
state	NG-BA	Bauchi		en		
state	NG-BY*	Bayelsa		en		
state	NG-BE*	Benue		en		
state	NG-BO*	Borno		en		
state	NG-CR*	Cross River		en		
state	NG-DE*	Delta		en		
state	NG-EB*	Ebonyi		en		
state	NG-ED*	Edo		en		
state	NG-EK*	Ekiti		en		
state	NG-EN*	Enugu		en		
state	NG-GO*	Gombe		en		
state	NG-IM*	Imo		en		
state	NG-JI*	Jigawa		en		
state	NG-KD	Kaduna		en		
state	NG-KN	Kano		en		
state	NG-KT	Katsina		en		
state	NG-KE*	Kebbi		en		
state	NG-KO*	Kogi		en		
state	NG-KW*	Kwara		en		
state	NG-LA	Lagos		en		
state	NG-NA*	Nasarawa		en		
state	NG-NI*	Niger		en		
state	NG-OG*	Ogun		en		
state	NG-ON*	Ondo		en		
state	NG-OS*	Osun		en		
state	NG-OY*	Oyo		en		
state	NG-PL*	Plateau		en		
state	NG-RI*	Rivers		en		
state	NG-SO	Sokoto		en		
state	NG-TA*	Taraba		en		
state	NG-YO*	Yobe		en		
state	NG-ZA*	Zamfara		en		
