; ISO 3166-2:NR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:NR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	NR-01*	Aiwo		en		
district	NR-01*	Aiwo		na		
district	NR-02*	Anabar		en		
district	NR-02*	Anabar		na		
district	NR-03*	Anetan		en		
district	NR-03*	Anetan		na		
district	NR-04*	Anibare		en		
district	NR-04*	Anibare		na		
district	NR-05*	Baitsi	Baiti	en		
district	NR-05*	Baitsi	Baiti	na		
district	NR-06*	Boe		en		
district	NR-06*	Boe		na		
district	NR-07*	Buada		en		
district	NR-07*	Buada		na		
district	NR-08*	Denigomodu		en		
district	NR-08*	Denigomodu		na		
district	NR-09*	Ewa		en		
district	NR-09*	Ewa		na		
district	NR-10*	Ijuw		en		
district	NR-10*	Ijuw		na		
district	NR-11*	Meneng		en		
district	NR-11*	Meneng		na		
district	NR-12*	Nibok		en		
district	NR-12*	Nibok		na		
district	NR-13*	Uaboe		en		
district	NR-13*	Uaboe		na		
district	NR-14*	Yaren		en		
district	NR-14*	Yaren		na		
