; ISO 3166-2:PA
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PA
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	PA-1	Bocas del Toro		es		
province	PA-4	Chiriquí		es		
province	PA-2	Coclé		es		
province	PA-3	Colón		es		
province	PA-5	Darién		es		
indigenous region	PA-EM*	Emberá		es		
indigenous region	PA-KY*	Guna Yala	Kuna Yala	es		
province	PA-6	Herrera		es		
province	PA-7	Los Santos		es		
indigenous region	PA-NT*	Naso Tjër Di		es		
indigenous region	PA-NB*	Ngöbe-Buglé		es		
province	PA-8	Panamá		es		
province	PA-10*	Panamá Oeste		es		
province	PA-9	Veraguas		es		
