; ISO 3166-2:PK
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PK
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
Pakistan administered area	PK-JK	Azad Jammu and Kashmir	AJ&amp;K	en		
province	PK-BA	Balochistan		en		
province	PK-BA	Balōchistān		ur	BGN/PCGN 2007	
Pakistan administered area	PK-GB*	Gilgit-Baltistan		en		
Pakistan administered area	PK-GB*	Gilgit-Baltistān		ur	BGN/PCGN 2007	
federal capital territory	PK-IS	Islamabad		en		
federal capital territory	PK-IS	Islāmābād		ur	BGN/PCGN 2007	
province	PK-KP*	Khaībar Pakhtūnkhwā		ur	BGN/PCGN 2007	
province	PK-KP*	Khyber Pakhtunkhwa		en		
province	PK-PB	Panjāb		ur	BGN/PCGN 2007	
province	PK-PB	Punjab		en		
province	PK-SD	Sindh		en		
province	PK-SD	Sindh		ur	BGN/PCGN 2007	
Pakistan administered area	PK-JK	Āzād Jammūñ o Kashmīr		ur	BGN/PCGN 2007	
