; ISO 3166-2:PL
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PL
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
voivodship	PL-02	Dolnośląskie		pl		
voivodship	PL-04	Kujawsko-pomorskie		pl		
voivodship	PL-06	Lubelskie		pl		
voivodship	PL-08	Lubuskie		pl		
voivodship	PL-14	Mazowieckie		pl		
voivodship	PL-12	Małopolskie		pl		
voivodship	PL-16	Opolskie		pl		
voivodship	PL-18	Podkarpackie		pl		
voivodship	PL-20	Podlaskie		pl		
voivodship	PL-22	Pomorskie		pl		
voivodship	PL-28	Warmińsko-mazurskie		pl		
voivodship	PL-30	Wielkopolskie		pl		
voivodship	PL-32	Zachodniopomorskie		pl		
voivodship	PL-10	Łódzkie		pl		
voivodship	PL-24	Śląskie		pl		
voivodship	PL-26	Świętokrzyskie		pl		
