; ISO 3166-2:PT
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PT
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	PT-01	Aveiro		pt		
district	PT-02	Beja		pt		
district	PT-03	Braga		pt		
district	PT-04	Bragança		pt		
district	PT-05	Castelo Branco		pt		
district	PT-06	Coimbra		pt		
district	PT-08	Faro		pt		
district	PT-09	Guarda		pt		
district	PT-10	Leiria		pt		
district	PT-11	Lisboa		pt		
district	PT-12	Portalegre		pt		
district	PT-13	Porto		pt		
autonomous region	PT-30	Região Autónoma da Madeira		pt		
autonomous region	PT-20	Região Autónoma dos Açores		pt		
district	PT-14	Santarém		pt		
district	PT-15	Setúbal		pt		
district	PT-16	Viana do Castelo		pt		
district	PT-17	Vila Real		pt		
district	PT-18	Viseu		pt		
district	PT-07	Évora		pt		
