; ISO 3166-2:PW
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PW
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
state	PW-002*	Aimeliik		en		
state	PW-002*	Aimeliik		-		
state	PW-004*	Airai		en		
state	PW-004*	Airai		-		
state	PW-010*	Angaur		en		
state	PW-010*	Angaur		-		
state	PW-050*	Hatohobei		en		
state	PW-050*	Hatohobei		-		
state	PW-100*	Kayangel		en		
state	PW-100*	Kayangel		-		
state	PW-150*	Koror		en		
state	PW-150*	Koror		-		
state	PW-212*	Melekeok		en		
state	PW-212*	Melekeok		-		
state	PW-214*	Ngaraard		en		
state	PW-214*	Ngaraard		-		
state	PW-218*	Ngarchelong		en		
state	PW-218*	Ngarchelong		-		
state	PW-222*	Ngardmau		en		
state	PW-222*	Ngardmau		-		
state	PW-224*	Ngatpang		en		
state	PW-224*	Ngatpang		-		
state	PW-226*	Ngchesar		en		
state	PW-226*	Ngchesar		-		
state	PW-227*	Ngeremlengui		en		
state	PW-227*	Ngeremlengui		-		
state	PW-228*	Ngiwal		en		
state	PW-228*	Ngiwal		-		
state	PW-350*	Peleliu		en		
state	PW-350*	Peleliu		-		
state	PW-370*	Sonsorol		en		
state	PW-370*	Sonsorol		-		
