; ISO 3166-2:PY
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PY
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
department	PY-16	Alto Paraguay		es		
department	PY-10	Alto Paraná		es		
department	PY-13	Amambay		es		
capital	PY-ASU	Asunción		es		
department	PY-19	Boquerón		es		
department	PY-5	Caaguazú		es		
department	PY-6	Caazapá		es		
department	PY-14	Canindeyú		es		
department	PY-11	Central		es		
department	PY-1	Concepción		es		
department	PY-3	Cordillera		es		
department	PY-4	Guairá		es		
department	PY-7	Itapúa		es		
department	PY-8	Misiones		es		
department	PY-9	Paraguarí		es		
department	PY-15	Presidente Hayes		es		
department	PY-2	San Pedro		es		
department	PY-12	Ñeembucú		es		
