; ISO 3166-2:RU
; Source: https://www.iso.org/obp/ui/#iso:code:3166:RU
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
republic	RU-AD*	Adygeja, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-AD*	Adygeya, Respublika		ru	BGN/PCGN 1947	
republic	RU-AL*	Altaj, Respublika		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-ALT*	Altajskij kraj		ru	GOST 1983 = UN V/18 1987	
republic	RU-AL*	Altay, Respublika		ru	BGN/PCGN 1947	
administrative territory	RU-ALT*	Altayskiy kray		ru	BGN/PCGN 1947	
administrative region	RU-AMU*	Amurskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-AMU*	Amurskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-ARK*	Arhangel'skaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-ARK*	Arkhangel'skaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-AST*	Astrahanskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-AST*	Astrakhanskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-BA*	Bashkortostan, Respublika		ru	BGN/PCGN 1947	
republic	RU-BA*	Baškortostan, Respublika		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-BEL*	Belgorodskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-BEL*	Belgorodskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-BRY*	Brjanskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-BRY*	Bryanskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-BU*	Burjatija, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-BU*	Buryatiya, Respublika		ru	BGN/PCGN 1947	
republic	RU-CE*	Chechenskaya Respublika		ru	BGN/PCGN 1947	
administrative region	RU-CHE*	Chelyabinskaya oblast'		ru	BGN/PCGN 1947	
autonomous district	RU-CHU*	Chukotskiy avtonomnyy okrug		ru	BGN/PCGN 1947	
republic	RU-CU*	Chuvashskaya Respublika		ru	BGN/PCGN 1947	
republic	RU-DA*	Dagestan, Respublika		ru	BGN/PCGN 1947	
republic	RU-DA*	Dagestan, Respublika		ru	GOST 1983 = UN V/18 1987	
autonomous region	RU-YEV*	Evrejskaja avtonomnaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-KHA*	Habarovskij kraj		ru	GOST 1983 = UN V/18 1987	
republic	RU-KK*	Hakasija, Respublika		ru	GOST 1983 = UN V/18 1987	
autonomous district	RU-KHM*	Hanty-Mansijskij avtonomnyj okrug	Jugra	ru	GOST 1983 = UN V/18 1987	
republic	RU-IN*	Ingushetiya, Respublika		ru	BGN/PCGN 1947	
republic	RU-IN*	Ingušetija, Respublika		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-IRK*	Irkutskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-IRK*	Irkutskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-IVA*	Ivanovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-IVA*	Ivanovskaya oblast'		ru	BGN/PCGN 1947	
autonomous district	RU-YAN*	Jamalo-Neneckij avtonomnyj okrug		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-YAR*	Jaroslavskaja oblast'		ru	GOST 1983 = UN V/18 1987	
republic	RU-KB*	Kabardino-Balkarskaja Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-KB*	Kabardino-Balkarskaya Respublika		ru	BGN/PCGN 1947	
administrative region	RU-KGD*	Kaliningradskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KGD*	Kaliningradskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-KL*	Kalmykija, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-KL*	Kalmykiya, Respublika		ru	BGN/PCGN 1947	
administrative region	RU-KLU*	Kaluzhskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-KLU*	Kalužskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-KAM*	Kamchatskiy kray		ru	BGN/PCGN 1947	
administrative territory	RU-KAM*	Kamčatskij kraj		ru	GOST 1983 = UN V/18 1987	
republic	RU-KC*	Karachayevo-Cherkesskaya Respublika		ru	BGN/PCGN 1947	
republic	RU-KC*	Karačaevo-Čerkesskaja Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-KR*	Karelija, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-KR*	Kareliya, Respublika		ru	BGN/PCGN 1947	
administrative region	RU-KEM*	Kemerovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KEM*	Kemerovskaya oblast'		ru	BGN/PCGN 1947	
administrative territory	RU-KHA*	Khabarovskiy kray		ru	BGN/PCGN 1947	
republic	RU-KK*	Khakasiya, Respublika		ru	BGN/PCGN 1947	
autonomous district	RU-KHM*	Khanty-Mansiyskiy avtonomnyy okrug	Yugra	ru	BGN/PCGN 1947	
administrative region	RU-KIR*	Kirovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KIR*	Kirovskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-KO*	Komi, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-KO*	Komi, Respublika		ru	BGN/PCGN 1947	
administrative region	RU-KOS*	Kostromskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KOS*	Kostromskaya oblast'		ru	BGN/PCGN 1947	
administrative territory	RU-KDA*	Krasnodarskij kraj		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-KDA*	Krasnodarskiy kray		ru	BGN/PCGN 1947	
administrative territory	RU-KYA*	Krasnojarskij kraj		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-KYA*	Krasnoyarskiy kray		ru	BGN/PCGN 1947	
administrative region	RU-KGN*	Kurganskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KGN*	Kurganskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-KRS*	Kurskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-KRS*	Kurskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-LEN*	Leningradskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-LEN*	Leningradskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-LIP*	Lipeckaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-LIP*	Lipetskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-MAG*	Magadanskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-MAG*	Magadanskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-ME*	Marij Èl, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-ME*	Mariy El, Respublika		ru	BGN/PCGN 1947	
republic	RU-MO*	Mordovija, Respublika		ru	GOST 1983 = UN V/18 1987	
republic	RU-MO*	Mordoviya, Respublika		ru	BGN/PCGN 1947	
administrative region	RU-MOS*	Moskovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-MOS*	Moskovskaya oblast'		ru	BGN/PCGN 1947	
autonomous city	RU-MOW	Moskva		ru	BGN/PCGN 1947	
autonomous city	RU-MOW	Moskva		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-MUR*	Murmanskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-MUR*	Murmanskaya oblast'		ru	BGN/PCGN 1947	
autonomous district	RU-NEN*	Neneckij avtonomnyj okrug		ru	GOST 1983 = UN V/18 1987	
autonomous district	RU-NEN*	Nenetskiy avtonomnyy okrug		ru	BGN/PCGN 1947	
administrative region	RU-NIZ*	Nizhegorodskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-NIZ*	Nižegorodskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-NGR*	Novgorodskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-NGR*	Novgorodskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-NVS*	Novosibirskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-NVS*	Novosibirskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-OMS*	Omskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-OMS*	Omskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-ORE*	Orenburgskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-ORE*	Orenburgskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-ORL*	Orlovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-ORL*	Orlovskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-PNZ*	Penzenskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-PNZ*	Penzenskaya oblast'		ru	BGN/PCGN 1947	
administrative territory	RU-PER*	Permskij kraj		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-PER*	Permskiy kray		ru	BGN/PCGN 1947	
administrative territory	RU-PRI*	Primorskij kraj		ru	GOST 1983 = UN V/18 1987	
administrative territory	RU-PRI*	Primorskiy kray		ru	BGN/PCGN 1947	
administrative region	RU-PSK*	Pskovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-PSK*	Pskovskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-RYA*	Rjazanskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-ROS*	Rostovskaja oblast'		ru	GOST 1983 = UN V/18 1987	
administrative region	RU-ROS*	Rostovskaya oblast'		ru	BGN/PCGN 1947	
administrative region	RU-RYA*	Ryazanskaya oblast'		ru	BGN/PCGN 1947	
republic	RU-SA*	Saha, Respublika	Jakutija	ru	BGN/PCGN 1947	
administrative region	RU-SAK*	Sahalinskaja oblast'		ru	GOST 1983 = UN V/18 1987	
republic	RU-SA*	Sakha, Respublika	Yakutiya	ru	GOST 1983 = UN V/18 1987	
administrative region	RU-SAK*	Sakhalinskaya oblast'		ru	BGN/PCGN 1947	
