; ISO 3166-2:SB
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SB
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
capital territory	SB-CT*	Capital Territory (Honiara)		en		
province	SB-CE*	Central		en		
province	SB-CH*	Choiseul		en		
province	SB-GU*	Guadalcanal		en		
province	SB-IS*	Isabel		en		
province	SB-MK*	Makira-Ulawa		en		
province	SB-ML*	Malaita		en		
province	SB-RB*	Rennell and Bellona		en		
province	SB-TE*	Temotu		en		
province	SB-WE*	Western		en		
