; ISO 3166-2:SC
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SC
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	SC-02*	Ans Bwalo		-		
district	SC-03*	Ans Etwal		-		
district	SC-05*	Ans Royal		-		
district	SC-01*	Ans o Pen		-		
district	SC-02*	Anse Boileau		en		
district	SC-02*	Anse Boileau		fr		
district	SC-03*	Anse Etoile		en		
district	SC-05*	Anse Royale		en		
district	SC-05*	Anse Royale		fr		
district	SC-01*	Anse aux Pins		en		
district	SC-01*	Anse aux Pins		fr		
district	SC-03*	Anse Étoile		fr		
district	SC-04*	Au Cap		en		
district	SC-04*	Au Cap		fr		
district	SC-06*	Baie Lazare		en		
district	SC-06*	Baie Lazare		fr		
district	SC-07*	Baie Sainte Anne		en		
district	SC-07*	Baie Sainte-Anne		fr		
district	SC-06*	Be Lazar		-		
district	SC-07*	Be Sent Ann		-		
district	SC-08*	Beau Vallon		en		
district	SC-08*	Beau Vallon		fr		
district	SC-09*	Bel Air		en		
district	SC-09*	Bel Air		fr		
district	SC-10*	Bel Ombre		en		
district	SC-10*	Bel Ombre		fr		
district	SC-09*	Beler		-		
district	SC-10*	Belonm		-		
district	SC-08*	Bovalon		-		
district	SC-11*	Cascade		en		
district	SC-11*	Cascade		fr		
district	SC-16*	English River		en		
district	SC-12*	Glacis		en		
district	SC-12*	Glacis		fr		
district	SC-12*	Glasi		-		
district	SC-13*	Grand Ans Mae		-		
district	SC-14*	Grand Ans Pralen		-		
district	SC-13*	Grand Anse Mahe		en		
district	SC-14*	Grand Anse Praslin		en		
district	SC-13*	Grand'Anse Mahé		fr		
district	SC-14*	Grand'Anse Praslin		fr		
district	SC-26*	Ile Perseverance I		en		
district	SC-27*	Ile Perseverance II		en		
district	SC-11*	Kaskad		-		
district	SC-15*	La Digue		en		
district	SC-15*	La Digue		fr		
district	SC-16*	La Rivière Anglaise		fr		
district	SC-15*	Ladig		-		
district	SC-16*	Larivyer Anglez		-		
district	SC-24*	Lemamel		-		
district	SC-24*	Les Mamelles		en		
district	SC-24*	Les Mamelles		fr		
district	SC-17*	Mon Bikston		-		
district	SC-18*	Mon Fleri		-		
district	SC-17*	Mont Buxton		en		
district	SC-17*	Mont Buxton		fr		
district	SC-18*	Mont Fleuri		en		
district	SC-18*	Mont Fleuri		fr		
district	SC-04*	O Kap		-		
district	SC-19*	Plaisance		en		
district	SC-19*	Plaisance		fr		
district	SC-19*	Plezans		-		
district	SC-20*	Pointe La Rue		fr		
district	SC-20*	Pointe Larue		en		
district	SC-21*	Porglo		-		
district	SC-21*	Port Glaud		en		
district	SC-21*	Port Glaud		fr		
district	SC-20*	Pwent Lari		-		
district	SC-25*	Roche Caiman		en		
district	SC-25*	Roche Caïman		fr		
district	SC-25*	Ros Kaiman		-		
district	SC-22*	Saint Louis		en		
district	SC-22*	Saint-Louis		fr		
district	SC-22*	Sen Lwi		-		
district	SC-23*	Takamaka		-		
district	SC-23*	Takamaka		en		
district	SC-23*	Takamaka		fr		
district	SC-26*	Île Persévérance I		fr		
district	SC-27*	Île Persévérance II		fr		
