; ISO 3166-2:SE
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SE
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	SE-K	Blekinge län [SE-10]		sv		
county	SE-W	Dalarnas län [SE-20]		sv		
county	SE-I	Gotlands län [SE-09]		sv		
county	SE-X	Gävleborgs län [SE-21]		sv		
county	SE-N	Hallands län [SE-13]		sv		
county	SE-Z	Jämtlands län [SE-23]		sv		
county	SE-F	Jönköpings län [SE-06]		sv		
county	SE-H	Kalmar län [SE-08]		sv		
county	SE-G	Kronobergs län [SE-07]		sv		
county	SE-BD	Norrbottens län [SE-25]		sv		
county	SE-M	Skåne län [SE-12]		sv		
county	SE-AB	Stockholms län [SE-01]		sv		
county	SE-D	Södermanlands län [SE-04]		sv		
county	SE-C	Uppsala län [SE-03]		sv		
county	SE-S	Värmlands län [SE-17]		sv		
county	SE-AC	Västerbottens län [SE-24]		sv		
county	SE-Y	Västernorrlands län [SE-22]		sv		
county	SE-U	Västmanlands län [SE-19]		sv		
county	SE-O	Västra Götalands län [SE-14]		sv		
county	SE-T	Örebro län [SE-18]		sv		
county	SE-E	Östergötlands län [SE-05]		sv		
