; ISO 3166-2:SI
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SI
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
municipality	SI-001	Ajdovščina		sl		
municipality	SI-213	Ankaran	Ancarano	sl		
municipality	SI-195	Apače		sl		
municipality	SI-002	Beltinci		sl		
municipality	SI-148	Benedikt		sl		
municipality	SI-149	Bistrica ob Sotli		sl		
municipality	SI-003	Bled		sl		
municipality	SI-150	Bloke		sl		
municipality	SI-004	Bohinj		sl		
municipality	SI-005	Borovnica		sl		
municipality	SI-006	Bovec		sl		
municipality	SI-151	Braslovče		sl		
municipality	SI-007	Brda		sl		
municipality	SI-008	Brezovica		sl		
municipality	SI-009	Brežice		sl		
municipality	SI-152	Cankova		sl		
municipality	SI-011	Celje		sl		
municipality	SI-012	Cerklje na Gorenjskem		sl		
municipality	SI-013	Cerknica		sl		
municipality	SI-014	Cerkno		sl		
municipality	SI-153	Cerkvenjak		sl		
municipality	SI-196	Cirkulane		sl		
municipality	SI-018	Destrnik		sl		
municipality	SI-019	Divača		sl		
municipality	SI-154	Dobje		sl		
municipality	SI-020	Dobrepolje		sl		
municipality	SI-155	Dobrna		sl		
municipality	SI-021	Dobrova-Polhov Gradec		sl		
municipality	SI-156	Dobrovnik	Dobronak	sl		
municipality	SI-022	Dol pri Ljubljani		sl		
municipality	SI-157	Dolenjske Toplice		sl		
municipality	SI-023	Domžale		sl		
municipality	SI-024	Dornava		sl		
municipality	SI-025	Dravograd		sl		
municipality	SI-026	Duplek		sl		
municipality	SI-027	Gorenja vas-Poljane		sl		
municipality	SI-028	Gorišnica		sl		
municipality	SI-207	Gorje		sl		
municipality	SI-029	Gornja Radgona		sl		
municipality	SI-030	Gornji Grad		sl		
municipality	SI-031	Gornji Petrovci		sl		
municipality	SI-158	Grad		sl		
municipality	SI-032	Grosuplje		sl		
municipality	SI-159	Hajdina		sl		
municipality	SI-161	Hodoš	Hodos	sl		
municipality	SI-162	Horjul		sl		
municipality	SI-160	Hoče-Slivnica		sl		
municipality	SI-034	Hrastnik		sl		
municipality	SI-035	Hrpelje-Kozina		sl		
municipality	SI-036	Idrija		sl		
municipality	SI-037	Ig		sl		
municipality	SI-038	Ilirska Bistrica		sl		
municipality	SI-039	Ivančna Gorica		sl		
municipality	SI-040	Izola	Isola	sl		
municipality	SI-041	Jesenice		sl		
municipality	SI-163	Jezersko		sl		
municipality	SI-042	Juršinci		sl		
municipality	SI-043	Kamnik		sl		
municipality	SI-044	Kanal		sl		
municipality	SI-045	Kidričevo		sl		
municipality	SI-046	Kobarid		sl		
municipality	SI-047	Kobilje		sl		
municipality	SI-049	Komen		sl		
municipality	SI-164	Komenda		sl		
municipality	SI-050	Koper	Capodistria	sl		
municipality	SI-197	Kosanjevica na Krki		sl		
municipality	SI-165	Kostel		sl		
municipality	SI-051	Kozje		sl		
municipality	SI-048	Kočevje		sl		
municipality	SI-052	Kranj		sl		
municipality	SI-053	Kranjska Gora		sl		
municipality	SI-166	Križevci		sl		
municipality	SI-054	Krško		sl		
municipality	SI-055	Kungota		sl		
municipality	SI-056	Kuzma		sl		
municipality	SI-057	Laško		sl		
municipality	SI-058	Lenart		sl		
municipality	SI-059	Lendava	Lendva	sl		
municipality	SI-060	Litija		sl		
municipality	SI-061	Ljubljana		sl		
municipality	SI-062	Ljubno		sl		
municipality	SI-063	Ljutomer		sl		
municipality	SI-208	Log-Dragomer		sl		
municipality	SI-064	Logatec		sl		
municipality	SI-167	Lovrenc na Pohorju		sl		
municipality	SI-065	Loška dolina		sl		
municipality	SI-066	Loški Potok		sl		
municipality	SI-068	Lukovica		sl		
municipality	SI-067	Luče		sl		
municipality	SI-069	Majšperk		sl		
municipality	SI-198	Makole		sl		
municipality	SI-070	Maribor		sl		
municipality	SI-168	Markovci		sl		
municipality	SI-071	Medvode		sl		
municipality	SI-072	Mengeš		sl		
municipality	SI-073	Metlika		sl		
municipality	SI-074	Mežica		sl		
municipality	SI-169	Miklavž na Dravskem polju		sl		
municipality	SI-075	Miren-Kostanjevica		sl		
municipality	SI-212	Mirna		sl		
municipality	SI-170	Mirna Peč		sl		
municipality	SI-076	Mislinja		sl		
municipality	SI-199	Mokronog-Trebelno		sl		
municipality	SI-078	Moravske Toplice		sl		
municipality	SI-077	Moravče		sl		
municipality	SI-079	Mozirje		sl		
municipality	SI-080	Murska Sobota		sl		
municipality	SI-081	Muta		sl		
municipality	SI-082	Naklo		sl		
municipality	SI-083	Nazarje		sl		
municipality	SI-084	Nova Gorica		sl		
municipality	SI-085	Novo Mesto		sl		
municipality	SI-086	Odranci		sl		
municipality	SI-171	Oplotnica		sl		
municipality	SI-087	Ormož		sl		
municipality	SI-088	Osilnica		sl		
municipality	SI-089	Pesnica		sl		
municipality	SI-090	Piran	Pirano	sl		
municipality	SI-091	Pivka		sl		
municipality	SI-172	Podlehnik		sl		
municipality	SI-093	Podvelka		sl		
municipality	SI-092	Podčetrtek		sl		
municipality	SI-200	Poljčane		sl		
municipality	SI-173	Polzela		sl		
municipality	SI-094	Postojna		sl		
municipality	SI-174	Prebold		sl		
municipality	SI-095	Preddvor		sl		
municipality	SI-175	Prevalje		sl		
municipality	SI-096	Ptuj		sl		
municipality	SI-097	Puconci		sl		
municipality	SI-100	Radenci		sl		
municipality	SI-099	Radeče		sl		
municipality	SI-101	Radlje ob Dravi		sl		
municipality	SI-102	Radovljica		sl		
municipality	SI-103	Ravne na Koroškem		sl		
municipality	SI-176	Razkrižje		sl		
municipality	SI-098	Rače-Fram		sl		
municipality	SI-201	Renče-Vogrsko		sl		
municipality	SI-209	Rečica ob Savinji		sl		
municipality	SI-104	Ribnica		sl		
municipality	SI-177	Ribnica na Pohorju		sl		
municipality	SI-107	Rogatec		sl		
municipality	SI-106	Rogaška Slatina		sl		
municipality	SI-105	Rogašovci		sl		
municipality	SI-108	Ruše		sl		
municipality	SI-178	Selnica ob Dravi		sl		
municipality	SI-109	Semič		sl		
municipality	SI-110	Sevnica		sl		
municipality	SI-111	Sežana		sl		
municipality	SI-112	Slovenj Gradec		sl		
municipality	SI-113	Slovenska Bistrica		sl		
municipality	SI-114	Slovenske Konjice		sl		
municipality	SI-179	Sodražica		sl		
municipality	SI-180	Solčava		sl		
municipality	SI-202	Središče ob Dravi		sl		
municipality	SI-115	Starše		sl		
municipality	SI-203	Straža		sl		
municipality	SI-181	Sveta Ana		sl		
municipality	SI-204	Sveta Trojica v Slovenskih goricah		sl		
municipality	SI-182	Sveti Andraž v Slovenskih goricah		sl		
municipality	SI-116	Sveti Jurij ob Ščavnici		sl		
municipality	SI-210	Sveti Jurij v Slovenskih goricah		sl		
municipality	SI-205	Sveti Tomaž		sl		
municipality	SI-184	Tabor		sl		
municipality	SI-010	Tišina		sl		
municipality	SI-128	Tolmin		sl		
municipality	SI-129	Trbovlje		sl		
municipality	SI-130	Trebnje		sl		
municipality	SI-185	Trnovska Vas		sl		
municipality	SI-186	Trzin		sl		
municipality	SI-131	Tržič		sl		
municipality	SI-132	Turnišče		sl		
municipality	SI-133	Velenje		sl		
municipality	SI-187	Velika Polana		sl		
municipality	SI-134	Velike Lašče		sl		
municipality	SI-188	Veržej		sl		
municipality	SI-135	Videm		sl		
municipality	SI-136	Vipava		sl		
municipality	SI-137	Vitanje		sl		
municipality	SI-138	Vodice		sl		
municipality	SI-139	Vojnik		sl		
municipality	SI-189	Vransko		sl		
municipality	SI-140	Vrhnika		sl		
municipality	SI-141	Vuzenica		sl		
municipality	SI-142	Zagorje ob Savi		sl		
municipality	SI-143	Zavrč		sl		
municipality	SI-144	Zreče		sl		
municipality	SI-015	Črenšovci		sl		
municipality	SI-016	Črna na Koroškem		sl		
municipality	SI-017	Črnomelj		sl		
municipality	SI-033	Šalovci		sl		
municipality	SI-183	Šempeter-Vrtojba		sl		
municipality	SI-118	Šentilj		sl		
municipality	SI-119	Šentjernej		sl		
municipality	SI-120	Šentjur		sl		
municipality	SI-211	Šentrupert		sl		
municipality	SI-117	Šenčur		sl		
municipality	SI-121	Škocjan		sl		
municipality	SI-122	Škofja Loka		sl		
municipality	SI-123	Škofljica		sl		
municipality	SI-124	Šmarje pri Jelšah		sl		
municipality	SI-206	Šmarješke Toplice		sl		
municipality	SI-125	Šmartno ob Paki		sl		
municipality	SI-194	Šmartno pri Litiji		sl		
municipality	SI-126	Šoštanj		sl		
municipality	SI-127	Štore		sl		
municipality	SI-190	Žalec		sl		
municipality	SI-146	Železniki		sl		
