; ISO 3166-2:SN
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SN
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	SN-DK	Dakar		fr		
region	SN-DB	Diourbel		fr		
region	SN-FK	Fatick		fr		
region	SN-KA*	Kaffrine		fr		
region	SN-KL	Kaolack		fr		
region	SN-KD	Kolda		fr		
region	SN-KE*	Kédougou		fr		
region	SN-LG	Louga		fr		
region	SN-MT*	Matam		fr		
region	SN-SL	Saint-Louis		fr		
region	SN-SE*	Sédhiou		fr		
region	SN-TC	Tambacounda		fr		
region	SN-TH	Thiès		fr		
region	SN-ZG	Ziguinchor		fr		
