; ISO 3166-2:SR
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SR
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
district	SR-BR*	Brokopondo		nl		
district	SR-CM*	Commewijne		nl		
district	SR-CR*	Coronie		nl		
district	SR-MA*	Marowijne		nl		
district	SR-NI*	Nickerie		nl		
district	SR-PR*	Para		nl		
district	SR-PM*	Paramaribo		nl		
district	SR-SA*	Saramacca		nl		
district	SR-SI*	Sipaliwini		nl		
district	SR-WA*	Wanica		nl		
