; ISO 3166-2:SS
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SS
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
state	SS-EC*	Central Equatoria		en		
state	SS-EE*	Eastern Equatoria		en		
state	SS-JG*	Jonglei		en		
state	SS-LK*	Lakes		en		
state	SS-BN*	Northern Bahr el Ghazal		en		
state	SS-UY*	Unity		en		
state	SS-NU*	Upper Nile		en		
state	SS-WR*	Warrap		en		
state	SS-BW*	Western Bahr el Ghazal		en		
state	SS-EW*	Western Equatoria		en		
