; ISO 3166-2:SV
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SV
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
department	SV-AH*	Ahuachapán		es		
department	SV-CA*	Cabañas		es		
department	SV-CH*	Chalatenango		es		
department	SV-CU*	Cuscatlán		es		
department	SV-LI*	La Libertad		es		
department	SV-PA*	La Paz		es		
department	SV-UN*	La Unión		es		
department	SV-MO*	Morazán		es		
department	SV-SM*	San Miguel		es		
department	SV-SS*	San Salvador		es		
department	SV-SV*	San Vicente		es		
department	SV-SA*	Santa Ana		es		
department	SV-SO*	Sonsonate		es		
department	SV-US*	Usulután		es		
