; ISO 3166-2:SY
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SY
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	SY-LA*	Al Lādhiqīyah		ar	BGN/PCGN 1956	
province	SY-QU*	Al Qunayţirah		ar	BGN/PCGN 1956	
province	SY-HA*	Al Ḩasakah		ar	BGN/PCGN 1956	
province	SY-RA*	Ar Raqqah		ar	BGN/PCGN 1956	
province	SY-SU*	As Suwaydā'		ar	BGN/PCGN 1956	
province	SY-DR*	Dar'ā		ar	BGN/PCGN 1956	
province	SY-DY*	Dayr az Zawr		ar	BGN/PCGN 1956	
province	SY-DI*	Dimashq		ar	BGN/PCGN 1956	
province	SY-ID*	Idlib		ar	BGN/PCGN 1956	
province	SY-RD*	Rīf Dimashq		ar	BGN/PCGN 1956	
province	SY-TA*	Ţarţūs		ar	BGN/PCGN 1956	
province	SY-HL*	Ḩalab		ar	BGN/PCGN 1956	
province	SY-HM*	Ḩamāh		ar	BGN/PCGN 1956	
province	SY-HI*	Ḩimş		ar	BGN/PCGN 1956	
